Date,Local Passengers transfered,Local Airplanes,International Passengers transferred,International Airplanes,Total Passengers traveled,Total Airplanes
1/21/2020,510409.137,4295.634,82592.538,609.168,593001.675,4904.802
1/22/2020,499992.624,4207.968,80906.976,596.736,580899.6,4804.704
1/23/2020,458326.572,3857.304,74164.728,547.008,532491.3,4404.312
1/24/2020,493048.282,4149.524,79783.268,588.448,572831.55,4737.972
1/25/2020,520825.65,4383.3,84278.1,621.6,605103.75,5004.9
1/26/2020,499992.624,4207.968,80906.976,596.736,580899.6,4804.704
1/27/2020,489576.111,4120.302,79221.414,584.304,568797.525,4704.606
1/28/2020,510409.137,4295.634,82592.538,609.168,593001.675,4904.802
1/29/2020,499992.624,4207.968,80906.976,596.736,580899.6,4804.704
1/30/2020,458326.572,3857.304,74164.728,547.008,532491.3,4404.312
1/31/2020,493048.282,4149.524,79783.268,588.448,572831.55,4737.972
2/1/2020,520825.65,4383.3,84278.1,621.6,605103.75,5004.9
2/2/2020,499992.624,4207.968,80906.976,596.736,580899.6,4804.704
2/3/2020,489576.111,4120.302,79221.414,584.304,568797.525,4704.606
2/4/2020,510409.137,4295.634,82592.538,609.168,593001.675,4904.802
2/5/2020,499992.624,4207.968,80906.976,596.736,580899.6,4804.704
2/6/2020,458326.572,3857.304,74164.728,547.008,532491.3,4404.312
2/7/2020,493048.282,4149.524,79783.268,588.448,572831.55,4737.972
2/8/2020,520825.65,4383.3,84278.1,621.6,605103.75,5004.9
2/9/2020,499992.624,4207.968,80906.976,596.736,580899.6,4804.704
2/10/2020,489576.111,4120.302,79221.414,584.304,568797.525,4704.606
2/11/2020,510409.137,4295.634,82592.538,609.168,593001.675,4904.802
2/12/2020,499992.624,4207.968,80906.976,596.736,580899.6,4804.704
2/13/2020,458326.572,3857.304,74164.728,547.008,532491.3,4404.312
2/14/2020,493048.282,4149.524,79783.268,588.448,572831.55,4737.972
2/15/2020,520825.65,4383.3,84278.1,621.6,605103.75,5004.9
2/16/2020,499992.624,4207.968,80906.976,596.736,580899.6,4804.704
2/17/2020,489576.111,4120.302,79221.414,584.304,568797.525,4704.606
2/18/2020,510409.137,4295.634,82592.538,609.168,593001.675,4904.802
2/19/2020,499992.624,4207.968,80906.976,596.736,580899.6,4804.704
2/20/2020,231672.96,2485.485,20071.125,177.66,251744.085,2663.145
2/21/2020,243685.632,2614.362,21111.85,186.872,264797.482,2801.234
2/22/2020,267710.976,2872.116,23193.3,205.296,290904.276,3077.412
2/23/2020,252266.112,2706.417,21855.225,193.452,274121.337,2899.869
2/24/2020,247117.824,2651.184,21409.2,189.504,268527.024,2840.688
2/25/2020,238537.344,2559.129,20665.825,182.924,259203.169,2742.053
2/26/2020,235105.152,2522.307,20368.475,180.292,255473.627,2702.599
2/27/2020,231672.96,2485.485,20071.125,177.66,251744.085,2663.145
2/28/2020,243685.632,2614.362,21111.85,186.872,264797.482,2801.234
2/29/2020,267710.976,2872.116,23193.3,205.296,290904.276,3077.412
3/1/2020,252266.112,2706.417,21855.225,193.452,274121.337,2899.869
3/2/2020,247117.824,2651.184,21409.2,189.504,268527.024,2840.688
3/3/2020,238537.344,2559.129,20665.825,182.924,259203.169,2742.053
3/4/2020,235105.152,2522.307,20368.475,180.292,255473.627,2702.599
3/5/2020,231672.96,2485.485,20071.125,177.66,251744.085,2663.145
3/6/2020,243685.632,2614.362,21111.85,186.872,264797.482,2801.234
3/7/2020,267710.976,2872.116,23193.3,205.296,290904.276,3077.412
3/8/2020,252266.112,2706.417,21855.225,193.452,274121.337,2899.869
3/9/2020,247117.824,2651.184,21409.2,189.504,268527.024,2840.688
3/10/2020,238537.344,2559.129,20665.825,182.924,259203.169,2742.053
3/11/2020,235105.152,2522.307,20368.475,180.292,255473.627,2702.599
3/12/2020,231672.96,2485.485,20071.125,177.66,251744.085,2663.145
3/13/2020,243685.632,2614.362,21111.85,186.872,264797.482,2801.234
3/14/2020,267710.976,2872.116,23193.3,205.296,290904.276,3077.412
3/15/2020,252266.112,2706.417,21855.225,193.452,274121.337,2899.869
3/16/2020,247117.824,2651.184,21409.2,189.504,268527.024,2840.688
3/17/2020,238537.344,2559.129,20665.825,182.924,259203.169,2742.053
3/18/2020,235105.152,2522.307,20368.475,180.292,255473.627,2702.599
3/19/2020,231672.96,2485.485,20071.125,177.66,251744.085,2663.145
3/20/2020,107376.527,1321.473,3448.173,57.685,110824.7,1379.158
3/21/2020,118963.922,1464.078,3820.278,63.91,122784.2,1527.988
3/22/2020,119736.415,1473.585,3845.085,64.325,123581.5,1537.91
3/23/2020,105831.541,1302.459,3398.559,56.855,109230.1,1359.314
3/24/2020,104286.555,1283.445,3348.945,56.025,107635.5,1339.47
3/25/2020,112783.978,1388.022,3621.822,60.59,116405.8,1448.612
3/26/2020,103514.062,1273.938,3324.138,55.61,106838.2,1329.548
3/27/2020,107376.527,1321.473,3448.173,57.685,110824.7,1379.158
3/28/2020,118963.922,1464.078,3820.278,63.91,122784.2,1527.988
3/29/2020,119736.415,1473.585,3845.085,64.325,123581.5,1537.91
3/30/2020,105831.541,1302.459,3398.559,56.855,109230.1,1359.314
3/31/2020,104286.555,1283.445,3348.945,56.025,107635.5,1339.47
4/1/2020,112783.978,1388.022,3621.822,60.59,116405.8,1448.612
4/2/2020,103514.062,1273.938,3324.138,55.61,106838.2,1329.548
