,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,160147,7278,9394,2442,7221,186482,187139,6,0.0
1,1398/11/02,181113,7913,9784,2749,7519,209078,209686,2,1.0
2,1398/11/03,185564,6956,9019,2460,7149,211150,212455,1,2.0
3,1398/11/04,127924,4911,6554,2001,5417,146807,149655,0,3.0
4,1398/11/05,134549,5501,6999,2182,5957,155192,158726,4,4.0
5,1398/11/06,164451,7591,9709,2641,7718,192110,194472,0,5.0
6,1398/11/07,175201,7858,10144,2654,6931,202793,203636,4,6.0
7,1398/11/08,201032,8099,10418,2854,7690,230093,231325,0,7.0
8,1398/11/09,184653,6784,9325,2305,6738,209810,210170,5,8.0
9,1398/11/10,214706,7247,9620,2882,7313,241768,242395,0,9.0
10,1398/11/11,227771,6364,7918,2156,6026,250235,251420,0,10.0
11,1398/11/12,155556,6256,7969,2241,5806,177828,180176,0,11.0
12,1398/11/13,165106,6996,9241,2493,6995,190831,192010,0,12.0
13,1398/11/14,180489,7770,10028,2648,6814,207749,208671,0,13.0
14,1398/11/15,173228,7355,10093,2550,7526,200752,201967,0,14.0
15,1398/11/16,190039,7560,10162,2581,7465,217808,218690,2,15.0
16,1398/11/17,201582,6891,8943,2357,6944,226719,228884,1,16.0
17,1398/11/18,211505,6007,7680,2107,5769,233068,233786,0,17.0
18,1398/11/19,176547,6382,8077,2281,6516,199803,200975,0,18.0
19,1398/11/20,129742,5972,7793,2272,6157,151940,154339,2,19.0
20,1398/11/21,86329,3608,4499,1370,2848,98661,108727,4,20.0
21,1398/11/22,84516,3351,4705,1276,4295,98149,99653,4,21.0
22,1398/11/23,126719,4587,5807,1671,4961,143753,149751,4,22.0
23,1398/11/24,147169,5425,7372,2143,6722,168836,173020,4,23.0
24,1398/11/25,147970,5096,7423,1953,6491,168937,173357,2,24.0
25,1398/11/26,176937,7164,8734,2415,7092,202342,204569,0,25.0
26,1398/11/27,171371,7249,9829,2810,8250,199509,202336,0,26.0
27,1398/11/28,110108,5659,7158,2346,5940,131211,134880,2,27.0
28,1398/11/29,163061,6736,8786,2445,7027,188055,189803,2,28.0
29,1398/11/30,183266,7442,9740,2422,6664,209534,210109,2,29.0
30,1398/12/01,172331,6354,8230,2120,6152,195187,196147,2,0.0
31,1398/12/02,175098,5617,7116,1988,6291,196114,200188,3,1.0
32,1398/12/03,183214,7099,8699,2380,6845,208241,209484,3,2.0
33,1398/12/04,188296,7855,10060,2608,8084,216905,219143,1,3.0
34,1398/12/05,189155,8092,10574,2646,7511,217982,219455,2,4.0
35,1398/12/06,171282,7847,10316,2454,7182,199081,200606,0,5.0
36,1398/12/07,162978,7739,10224,2456,7997,191394,192885,0,6.0
37,1398/12/08,182869,7548,9607,2259,7295,209581,210449,3,7.0
38,1398/12/09,167173,6286,8262,1824,6460,190005,193058,2,8.0
39,1398/12/10,173271,7606,9590,2333,7254,200055,201443,2,9.0
40,1398/12/11,155429,7696,10008,2223,6616,181973,183587,1,10.0
41,1398/12/12,111417,5438,7327,1613,5674,131470,135102,2,11.0
42,1398/12/13,145465,7014,8901,2055,6382,169818,171852,1,12.0
43,1398/12/14,161121,7907,9918,2404,7044,188394,191297,0,13.0
44,1398/12/15,165919,7401,9717,2167,6771,191979,192304,2,14.0
45,1398/12/16,141582,6123,8207,1670,5805,163390,165173,2,15.0
46,1398/12/17,149593,6721,8846,1885,6101,173146,173382,0,16.0
47,1398/12/18,136159,6849,9071,1955,6647,160686,162145,3,17.0
48,1398/12/19,140970,7099,9356,1965,6456,165848,167440,3,18.0
49,1398/12/20,140186,7396,9501,1976,6756,165822,166703,5,19.0
50,1398/12/21,143560,7257,10014,2040,7159,170032,171955,2,20.0
51,1398/12/22,146862,7048,9378,2016,6872,172179,174535,4,21.0
52,1398/12/23,132189,6440,8239,1806,6980,155657,157111,5,22.0
53,1398/12/24,146900,6822,9137,1982,7217,172061,173469,4,23.0
54,1398/12/25,149699,7497,9468,2182,7203,176055,177985,7,24.0
55,1398/12/26,153883,7506,9237,2185,6811,179626,181665,7,25.0
56,1398/12/27,147121,6778,7642,1728,6162,169431,171019,4,26.0
57,1398/12/28,145264,5811,6507,1645,5586,164813,165824,4,27.0
58,1398/12/29,151509,3742,4164,1250,3881,164546,165566,5,28.0
59,1399/01/01,114948,1976,1634,598,1431,120587,125971,56,0.0
60,1399/01/02,115229,2251,1836,601,1401,121318,126865,2,1.0
61,1399/01/03,116146,2632,2293,703,1883,123657,124365,2,2.0
62,1399/01/04,136498,2942,2927,749,2269,145387,146094,4,3.0
63,1399/01/05,149380,4169,4807,1107,3635,163100,164296,3,4.0
64,1399/01/06,154907,4987,5760,1333,4283,171270,173197,1,5.0
65,1399/01/07,159449,4971,6352,1350,4485,176607,178213,1,6.0
66,1399/01/08,121614,4389,5251,1463,4752,137471,141184,4,7.0
67,1399/01/09,112715,5403,6617,1562,5277,131576,133848,3,8.0
68,1399/01/10,98455,5211,6584,1459,5117,116831,120946,4,9.0
69,1399/01/11,109160,5339,7107,1480,5239,128326,129716,2,10.0
70,1399/01/12,103438,4166,5552,1078,3936,118172,122029,2,11.0
71,1399/01/13,55019,1385,1455,536,1889,60286,71000,2,12.0
72,1399/01/14,109157,3604,4498,1148,4296,122707,128302,3,13.0
73,1399/01/15,112076,4112,5400,1635,4984,128211,134297,3,14.0
74,1399/01/16,123336,5358,6926,1698,5560,142883,147202,3,15.0
75,1399/01/17,130308,6058,7791,2012,6071,152246,157298,3,16.0
76,1399/01/18,122929,6110,8426,1809,5350,144633,148444,5,17.0
77,1399/01/19,83009,4297,5985,1259,4578,99135,105027,5,18.0
78,1399/01/20,109486,5002,7057,1505,5567,128625,129584,7,19.0
79,1399/01/21,121255,5047,7300,1346,4946,139896,139850,1,20.0
80,1399/01/22,120034,4751,6777,1406,4945,137916,139008,4,21.0
81,1399/01/23,148721,6206,8558,1708,5720,170918,172101,4,22.0
82,1399/01/24,144376,6557,9413,1759,5953,168060,169615,1,23.0
83,1399/01/25,136600,6198,8515,1717,6038,159071,161255,3,24.0
84,1399/01/26,163725,7499,9614,2195,7105,190139,192545,1,25.0
85,1399/01/27,168046,7787,9914,2390,7589,195727,198515,3,26.0
86,1399/01/28,172104,7427,9699,2363,7183,198776,202738,2,27.0
87,1399/01/29,179332,6109,8055,2068,6382,201948,204505,3,28.0
88,1399/01/30,179935,7466,9454,2267,6679,205802,208499,3,29.0
89,1399/01/31,176257,8086,10383,2391,7052,204169,207122,2,30.0
90,1399/02/01,196806,8092,10105,2235,7044,224282,228759,6,0.0
91,1399/02/02,197659,8356,10347,2200,6812,225376,230185,9,1.0
92,1399/02/03,199246,8285,10486,2384,6841,227244,231856,6,2.0
93,1399/02/04,198101,7504,9677,2003,7248,224535,229496,5,3.0
94,1399/02/05,167305,4581,6416,1497,5553,185352,189069,4,4.0
95,1399/02/06,178520,6900,7946,1919,6176,201461,205819,4,5.0
96,1399/02/07,183484,7717,9609,2327,6645,209782,215226,2,6.0
97,1399/02/08,187919,8228,10265,2133,6663,215211,219902,1,7.0
