,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,405943,28374,21024,12573,28412,496326,522437,26,0.0
1,1398/11/02,412389,25394,21758,10814,29898,500277,521704,38,1.0
2,1398/11/03,416667,21838,22869,10030,30453,501872,518617,24,2.0
3,1398/11/04,323829,16042,18397,8529,27225,394036,411809,18,3.0
4,1398/11/05,389345,20581,23418,10178,31130,474658,486940,13,4.0
5,1398/11/06,425897,24792,28284,11147,35145,525270,537386,11,5.0
6,1398/11/07,457118,25762,30973,11695,38566,564116,572967,5,6.0
7,1398/11/08,504444,25665,29374,11390,37215,608091,616488,5,7.0
8,1398/11/09,440396,20471,24650,10530,35736,531805,536994,13,8.0
9,1398/11/10,510581,23147,25839,10715,33045,603340,612433,8,9.0
10,1398/11/11,510342,20099,22680,9840,32144,595116,601259,9,10.0
11,1398/11/12,442180,22852,24755,10889,31179,531864,538065,8,11.0
12,1398/11/13,465844,25633,29354,11828,37046,569718,585213,11,12.0
13,1398/11/14,486753,26467,31774,12106,39620,596721,606041,1,13.0
14,1398/11/15,478337,26532,32004,11923,39963,588765,596842,4,14.0
15,1398/11/16,511515,26905,32246,12635,39926,623227,631931,0,15.0
16,1398/11/17,549138,25584,29439,11866,38860,654890,663631,2,16.0
17,1398/11/18,498259,18409,22296,9641,32449,581061,596160,4,17.0
18,1398/11/19,441788,22475,26742,11157,31866,534034,545803,5,18.0
19,1398/11/20,347261,19694,24005,9635,26308,426915,448912,7,19.0
20,1398/11/21,269794,16436,19679,8420,22913,337252,353875,5,20.0
21,1398/11/22,242323,12867,16540,6679,23156,301572,312438,8,21.0
22,1398/11/23,410600,21111,24844,10090,29660,496315,511467,7,22.0
23,1398/11/24,373038,19371,22805,9718,28966,453909,472595,6,23.0
24,1398/11/25,373100,16171,20229,8638,28435,446582,477125,6,24.0
25,1398/11/26,465938,24193,27807,11708,34211,563868,574760,6,25.0
26,1398/11/27,424761,25745,30303,12007,33537,526361,534424,5,26.0
27,1398/11/28,243944,16585,19855,9212,23947,313545,339121,2,27.0
28,1398/11/29,414029,24640,29137,12251,36741,516800,522706,3,28.0
29,1398/11/30,432051,23975,27769,11600,32394,527789,534740,1,29.0
30,1398/12/01,394044,20420,23682,10146,28357,476649,498233,2,0.0
31,1398/12/02,414836,17570,20959,8889,29828,492084,500622,4,1.0
32,1398/12/03,476724,23361,27065,11283,33898,572337,585010,6,2.0
33,1398/12/04,485000,26640,32433,12665,37926,594668,597456,5,3.0
34,1398/12/05,480064,26447,32259,12482,37899,589158,596275,5,4.0
35,1398/12/06,444115,25451,30917,12426,35271,548188,562305,5,5.0
36,1398/12/07,452968,24659,29877,11393,32401,551306,562508,5,6.0
37,1398/12/08,488198,24484,29533,11374,34059,587653,601447,5,7.0
38,1398/12/09,421687,19974,24118,9194,30608,505584,514721,1,8.0
39,1398/12/10,467896,25552,29032,11276,30842,564600,575229,1,9.0
40,1398/12/11,429926,28049,31813,11345,32870,534006,545770,2,10.0
41,1398/12/12,367158,25331,31681,10427,33339,467940,478476,3,11.0
42,1398/12/13,411565,26339,31252,10925,34435,514520,526749,2,12.0
43,1398/12/14,434150,26045,30912,10655,33224,534993,545933,6,13.0
44,1398/12/15,443425,25524,29418,10334,31989,540698,555234,4,14.0
45,1398/12/16,384725,18628,23197,8105,27578,462237,474077,3,15.0
46,1398/12/17,414934,24087,27665,9895,28205,504794,516688,5,16.0
47,1398/12/18,379922,22663,27409,9249,27518,466763,478924,2,17.0
48,1398/12/19,421775,26113,29941,10206,30270,518311,529275,4,18.0
49,1398/12/20,409421,27376,31788,10486,32988,512064,523714,4,19.0
50,1398/12/21,411797,26285,31276,10351,32849,512565,520476,4,20.0
51,1398/12/22,418691,24518,29537,9560,33087,515397,520639,4,21.0
52,1398/12/23,352757,18060,22182,7661,27215,427879,432448,2,22.0
53,1398/12/24,385309,22335,25006,8596,28572,469823,476204,4,23.0
54,1398/12/25,413595,24575,28643,8994,29621,505436,510964,6,24.0
55,1398/12/26,424989,24180,26997,8437,26634,511240,517287,4,25.0
56,1398/12/27,421478,21894,23341,7336,22979,497031,504853,2,26.0
57,1398/12/28,390013,18395,19560,6073,19030,453071,459965,8,27.0
58,1398/12/29,359504,12907,12744,3831,11866,400852,406442,5,28.0
59,1399/01/01,279557,6643,5079,1700,5686,298665,312592,82,0.0
60,1399/01/02,279557,6643,5079,1700,5686,298665,312592,4,1.0
61,1399/01/03,277484,8132,6994,2092,7284,301986,302485,2,2.0
62,1399/01/04,317576,10103,8894,2624,7839,347039,348041,4,3.0
63,1399/01/05,341959,13959,12278,3904,11839,383941,385396,2,4.0
64,1399/01/06,357217,15628,14956,4704,14757,407262,409152,0,5.0
65,1399/01/07,359876,15511,15536,4784,14774,410481,412530,0,6.0
66,1399/01/08,234041,12377,13359,4337,12858,276973,278436,1,7.0
67,1399/01/09,237207,15843,15754,4831,14839,288474,291168,0,8.0
68,1399/01/10,221495,14932,15734,4911,15006,272078,273787,0,9.0
69,1399/01/11,234301,15892,16534,4959,15272,286958,287968,0,10.0
70,1399/01/12,198886,12719,12781,3812,11397,239595,244329,0,11.0
71,1399/01/13,100989,4488,4397,1630,5428,116932,121811,0,12.0
72,1399/01/14,244322,12792,12505,4597,13161,287379,291387,2,13.0
73,1399/01/15,251558,12640,13037,4631,13769,295635,298417,0,14.0
74,1399/01/16,310860,19448,19454,6856,19109,375727,376880,0,15.0
75,1399/01/17,319800,21415,22012,7807,22808,393842,396094,0,16.0
76,1399/01/18,311022,21269,22653,7778,24056,386778,388980,0,17.0
77,1399/01/19,294718,21355,23197,7958,25099,372330,374524,2,18.0
78,1399/01/20,314307,21224,24111,7870,24838,392351,394993,2,19.0
79,1399/01/21,291442,17676,20665,7005,21940,358732,360212,3,20.0
80,1399/01/22,291164,14100,15510,5623,20101,346501,350572,2,21.0
81,1399/01/23,377506,22842,24648,8536,25376,458912,462194,2,22.0
82,1399/01/24,373790,24318,27539,9317,28194,463158,466885,0,23.0
83,1399/01/25,401499,25757,29041,9323,29499,495121,498239,1,24.0
84,1399/01/26,426827,26434,29408,9285,30525,522479,524506,0,25.0
85,1399/01/27,446942,26510,29252,9434,29733,541874,544610,3,26.0
86,1399/01/28,464566,25916,27616,9254,30225,557582,560374,4,27.0
87,1399/01/29,472227,18734,21231,7074,25046,544312,547569,1,28.0
88,1399/01/30,480078,26224,27451,9987,30860,574600,578708,3,29.0
89,1399/01/31,480022,28067,31223,10990,33295,583597,589549,3,30.0
90,1399/02/01,521070,28787,32548,11113,34748,628266,631665,0,0.0
91,1399/02/02,519427,28620,31351,10645,33992,624035,627949,0,1.0
92,1399/02/03,542904,27578,31302,10634,32717,645135,648147,0,2.0
93,1399/02/04,554631,25048,29666,9619,30926,649893,653109,2,3.0
94,1399/02/05,560301,18056,21264,7140,25392,632153,634655,0,4.0
95,1399/02/06,509337,26044,28009,9705,30656,603752,607252,2,5.0
96,1399/02/07,494801,28136,30898,10073,33694,597602,602742,0,6.0
97,1399/02/08,506637,29331,31865,10629,34326,612790,616393,2,7.0
98,1399/02/09,506766,29377,32246,10538,35588,614519,617061,4,8.0
99,1399/02/10,523088,29495,31491,10444,34128,628648,631679,3,9.0
100,1399/02/11,544341,28094,29887,9888,31704,643914,648067,1,10.0
101,1399/02/12,550541,20109,22242,7861,26322,627078,632630,3,11.0
102,1399/02/13,538579,28514,30028,10498,32926,640548,645963,4,12.0
103,1399/02/14,523936,30912,32624,10929,35091,633493,640653,1,13.0
104,1399/02/15,528121,30816,32202,10986,34833,636959,641871,2,14.0
105,1399/02/16,516244,30414,32846,11336,35699,626542,631493,2,15.0
