,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,340544,18251,22431,7163,19145,407534,410569,10,0.0
1,1398/11/02,339911,16257,19911,6367,17912,400358,405465,10,1.0
2,1398/11/03,336418,13772,17034,6096,15874,389196,395040,10,2.0
3,1398/11/04,351614,12362,15280,5416,14179,398854,404460,8,3.0
4,1398/11/05,330269,16690,20576,6479,17392,391406,397601,7,4.0
5,1398/11/06,326984,17142,21317,6535,18604,390588,400340,8,5.0
6,1398/11/07,340602,17097,21837,7113,18981,405636,408925,8,6.0
7,1398/11/08,378787,18103,22783,6926,19291,445894,447428,7,7.0
8,1398/11/09,343379,15758,20137,6595,18075,403951,405301,11,8.0
9,1398/11/10,379013,17779,21977,6606,17476,442855,448588,5,9.0
10,1398/11/11,411874,16140,17998,6015,14721,466754,469951,7,10.0
11,1398/11/12,335796,17801,21117,6766,17834,399317,400685,5,11.0
12,1398/11/13,339298,18299,21042,6806,17971,403416,404931,3,12.0
13,1398/11/14,332040,18410,21621,6944,17653,396672,398148,4,13.0
14,1398/11/15,340367,18398,21013,6666,18468,404914,406377,4,14.0
15,1398/11/16,352685,17849,19915,6566,18630,415656,417461,10,15.0
16,1398/11/17,344054,16651,19464,6243,18261,404680,405563,6,16.0
17,1398/11/18,363082,14683,15281,5046,15188,413291,415100,7,17.0
18,1398/11/19,335924,16817,19264,6334,18401,396747,397159,7,18.0
19,1398/11/20,339899,17378,18940,6256,18413,400894,403504,7,19.0
20,1398/11/21,358910,16801,19691,6524,19005,420944,422922,11,20.0
21,1398/11/22,326913,14898,18007,6310,17289,383426,384790,9,21.0
22,1398/11/23,381955,17358,20196,7060,17916,444487,445413,3,22.0
23,1398/11/24,393938,17013,19133,6697,17296,454079,456993,4,23.0
24,1398/11/25,410497,14883,14680,5196,14320,459581,460852,6,24.0
25,1398/11/26,349396,16670,18747,6396,17424,408638,410682,6,25.0
26,1398/11/27,346601,17785,20369,7223,18471,410454,410878,6,26.0
27,1398/11/28,336192,17963,19748,6476,17854,398236,399691,6,27.0
28,1398/11/29,339748,18334,20269,6601,17423,402375,402795,5,28.0
29,1398/11/30,370235,18063,19765,6460,16971,431494,432482,5,29.0
30,1398/12/01,373572,15806,17889,5590,14765,427622,429843,3,0.0
31,1398/12/02,335305,12108,12768,4676,12369,377234,379584,7,1.0
32,1398/12/03,349376,16420,17983,5983,16630,406401,408788,9,2.0
33,1398/12/04,352790,17236,20626,6729,17679,415069,417432,8,3.0
34,1398/12/05,353040,17263,20316,6056,18751,415432,417461,4,4.0
35,1398/12/06,343561,16972,18934,5947,18941,404367,406394,6,5.0
36,1398/12/07,337214,15235,17618,6076,18865,395015,396391,4,6.0
37,1398/12/08,319779,14500,17906,6007,18502,376705,380464,9,7.0
38,1398/12/09,288055,12158,14593,5197,16231,336241,337320,4,8.0
39,1398/12/10,326225,16590,19673,5992,18413,386904,387868,6,9.0
40,1398/12/11,319203,16760,20001,6204,19146,381328,381979,7,10.0
41,1398/12/12,311998,17144,19646,5828,17937,372566,373481,7,11.0
42,1398/12/13,307569,16411,19094,6172,18321,367580,369261,9,12.0
43,1398/12/14,311927,16296,18712,5970,19075,371990,373647,5,13.0
44,1398/12/15,294954,14325,17693,5610,17727,350318,351283,5,14.0
45,1398/12/16,240591,10987,12391,4071,14174,282222,282449,4,15.0
46,1398/12/17,266275,14791,17405,5719,17639,321836,322785,4,16.0
47,1398/12/18,217971,13217,16238,5612,16445,269491,269586,4,17.0
48,1398/12/19,238849,14488,16621,5615,16510,292086,292499,2,18.0
49,1398/12/20,231300,15040,17375,5778,18445,287947,288251,4,19.0
50,1398/12/21,230042,14624,17115,5525,18311,285621,285940,2,20.0
51,1398/12/22,208815,13121,16418,5137,16002,259497,260028,2,21.0
52,1398/12/23,181840,10389,12199,4047,14405,222886,223336,3,22.0
53,1398/12/24,209930,13221,15115,4582,15366,258218,258886,4,23.0
54,1398/12/25,200680,12078,14428,3832,14248,245273,245805,6,24.0
55,1398/12/26,196728,12392,15128,3955,13814,242020,242988,5,25.0
56,1398/12/27,202573,12109,13392,3875,12725,244676,245327,5,26.0
57,1398/12/28,210826,10470,11252,3318,11068,246936,247655,5,27.0
58,1398/12/29,182745,7443,8488,2385,8018,209079,209678,10,28.0
59,1399/01/01,135145,4815,4308,1379,4394,150041,185482,45,0.0
60,1399/01/02,136141,5078,4624,1464,4765,152072,173746,4,1.0
61,1399/01/03,126570,5153,4147,1430,4669,141975,143284,8,2.0
62,1399/01/04,142265,6271,5218,1534,5076,160371,161281,6,3.0
63,1399/01/05,154954,7647,7000,2098,7074,178778,179854,4,4.0
64,1399/01/06,161714,8643,8032,2273,8357,189023,189935,4,5.0
65,1399/01/07,155728,7810,8918,2321,8538,183319,185454,4,6.0
66,1399/01/08,104295,6996,7247,1970,7502,128023,129930,8,7.0
67,1399/01/09,95893,7126,7155,1889,7211,119282,121521,8,8.0
68,1399/01/10,83947,6378,5803,1689,6540,104370,111780,10,9.0
69,1399/01/11,95000,7415,6754,1892,7079,118150,120169,8,10.0
70,1399/01/12,78947,5899,6172,1933,6474,99441,101684,12,11.0
71,1399/01/13,57346,4241,4287,1484,5559,72932,74646,12,12.0
72,1399/01/14,94317,6435,6636,1938,7226,116576,118389,13,13.0
73,1399/01/15,100465,6979,7170,2051,8440,125120,126859,11,14.0
74,1399/01/16,141409,9242,9662,2834,11362,174526,176257,10,15.0
75,1399/01/17,143163,10147,10363,3218,12025,178930,180958,8,16.0
76,1399/01/18,143494,10755,11358,3328,12104,181050,183486,6,17.0
77,1399/01/19,146660,10814,12268,3825,12711,186292,187827,10,18.0
78,1399/01/20,157876,9825,12040,3475,13188,196423,195504,12,19.0
79,1399/01/21,139495,8814,10309,2997,10918,172541,173003,8,20.0
80,1399/01/22,135861,7599,8503,2315,9116,163404,164699,8,21.0
81,1399/01/23,187017,11000,14241,3784,11704,227754,228299,6,22.0
82,1399/01/24,195368,11945,13979,4109,12997,238402,239594,6,23.0
83,1399/01/25,199325,12144,13361,4195,12573,241600,243000,4,24.0
84,1399/01/26,208239,13391,14666,4371,14680,255350,257196,4,25.0
