,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,447417,29177,33958,15976,39408,565936,577875,16,0.0
1,1398/11/02,480815,27686,31276,15323,37696,592798,605707,13,1.0
2,1398/11/03,433255,22885,25865,14122,32756,528890,549170,5,2.0
3,1398/11/04,469353,19226,23132,12825,29375,553920,564657,7,3.0
4,1398/11/05,433315,26092,28551,14845,32651,535462,537920,5,4.0
5,1398/11/06,469342,29823,34378,15944,38452,587953,587791,7,5.0
6,1398/11/07,508247,31577,36467,16399,41768,634464,635778,5,6.0
7,1398/11/08,701250,31456,35859,16563,39630,824763,825628,6,7.0
8,1398/11/09,699062,26151,30348,15911,36670,808161,817156,13,8.0
9,1398/11/10,561694,25145,27259,14529,32897,661543,692803,12,9.0
10,1398/11/11,827019,23607,28163,16164,33211,928177,929319,10,10.0
11,1398/11/12,567250,27276,31409,16953,34123,677027,680905,12,11.0
12,1398/11/13,502293,29890,35570,15962,39754,623487,628060,15,12.0
13,1398/11/14,499233,30932,36570,16174,41847,624771,642414,11,13.0
14,1398/11/15,518879,31885,38101,17111,44437,650428,675294,12,14.0
15,1398/11/16,579023,33083,39401,17542,46174,715233,722586,7,15.0
16,1398/11/17,594252,28095,33077,16734,40257,712430,716883,8,16.0
17,1398/11/18,621808,21489,27078,15003,35994,721378,732077,4,17.0
18,1398/11/19,532656,28897,34540,17158,39576,652837,658641,6,18.0
19,1398/11/20,479628,29742,35977,16345,40746,602449,613717,6,19.0
20,1398/11/21,461876,26728,30547,14129,34229,567515,575568,3,20.0
21,1398/11/22,295528,15315,20265,8597,26564,366273,379224,4,21.0
22,1398/11/23,379334,21951,25590,10457,29998,467338,489035,5,22.0
23,1398/11/24,465098,23596,27812,11830,33084,561428,570174,6,23.0
24,1398/11/25,530187,19168,24693,12907,31708,618674,627049,8,24.0
25,1398/11/26,492230,28820,33234,15765,40166,610218,620983,5,25.0
26,1398/11/27,459145,32390,39053,16829,44322,591744,600893,5,26.0
27,1398/11/28,373714,28529,33572,15265,39135,490218,505127,5,27.0
28,1398/11/29,454013,30517,35509,16062,43570,579672,593636,6,28.0
29,1398/11/30,531624,33790,40310,16989,46138,668851,676028,3,29.0
30,1398/12/01,469659,24884,30846,14276,36580,576245,582104,7,0.0
31,1398/12/02,522900,20766,27395,13299,35196,619558,625437,6,1.0
32,1398/12/03,527345,31247,37203,17018,42139,654957,666479,4,2.0
33,1398/12/04,512162,34799,41754,17915,45948,652587,660960,8,3.0
34,1398/12/05,498981,34826,41795,17473,46625,639707,640103,5,4.0
35,1398/12/06,418243,33513,38631,15759,42946,549095,553233,2,5.0
36,1398/12/07,367738,29016,35335,13582,39346,485018,503923,1,6.0
37,1398/12/08,464619,29248,34179,13428,39023,580503,585838,4,7.0
38,1398/12/09,441713,23867,30073,12329,36356,544347,548380,6,8.0
39,1398/12/10,449350,32234,36502,14608,37881,570581,574042,6,9.0
40,1398/12/11,408894,34244,39825,14220,42127,539319,540920,7,10.0
41,1398/12/12,366450,31088,37117,12501,40144,487306,489243,4,11.0
42,1398/12/13,388154,31635,37848,12471,41512,511627,513123,6,12.0
43,1398/12/14,410811,32836,39417,13323,42530,538927,540045,8,13.0
44,1398/12/15,423357,27334,33683,12276,38119,534784,537160,9,14.0
45,1398/12/16,393328,21792,28777,10698,34050,488653,489340,5,15.0
46,1398/12/17,379012,28257,33060,12104,35712,488149,489046,3,16.0
47,1398/12/18,336596,24766,31101,11573,34902,438941,439877,3,17.0
48,1398/12/19,359461,29798,35565,12577,37960,475374,477025,9,18.0
49,1398/12/20,359576,31808,38320,12760,41597,484073,486090,10,19.0
50,1398/12/21,369983,31720,38872,13304,42130,496020,497738,7,20.0
51,1398/12/22,376740,28672,33991,12551,38733,490692,492030,5,21.0
52,1398/12/23,350464,23107,28049,10824,34298,446747,447179,5,22.0
53,1398/12/24,396592,30012,34106,12339,36510,509565,509804,5,23.0
54,1398/12/25,405894,31993,36128,12996,39075,526093,526216,5,24.0
55,1398/12/26,411349,29739,32821,12081,34203,520198,521418,3,25.0
56,1398/12/27,403993,26704,27185,10348,28250,496482,497325,7,26.0
57,1398/12/28,411874,22039,21948,8807,22055,486723,487776,6,27.0
58,1398/12/29,401289,14568,14348,7381,15526,453112,453926,6,28.0
59,1399/01/01,284990,6091,4848,2860,5093,303882,327143,4,0.0
60,1399/01/02,283133,6755,5155,3424,5528,303995,333505,2,1.0
61,1399/01/03,281956,7783,6671,3833,6530,306775,307075,3,2.0
62,1399/01/04,285276,8468,7788,3996,7651,313182,313620,2,3.0
63,1399/01/05,329878,10875,10874,5131,11589,368348,370167,1,4.0
64,1399/01/06,360933,13415,14217,6259,15768,410596,413384,4,5.0
65,1399/01/07,338042,12476,13240,6433,16068,386268,388211,6,6.0
66,1399/01/08,269288,10917,12293,5919,14427,312852,315205,5,7.0
67,1399/01/09,229887,14206,15231,6163,15795,281289,284135,4,8.0
68,1399/01/10,204285,14283,16043,5460,15977,256060,256799,7,9.0
69,1399/01/11,214014,14097,15399,5534,15140,264194,265046,7,10.0
70,1399/01/12,188447,10647,11195,4746,12594,227639,231950,6,11.0
71,1399/01/13,131224,6505,6555,2479,7636,154407,160364,5,12.0
72,1399/01/14,258740,9790,10223,4828,12163,295751,297540,5,13.0
73,1399/01/15,296023,12245,13126,6992,14642,343037,345284,6,14.0
74,1399/01/16,291166,17890,18613,8457,20093,356223,357997,3,15.0
75,1399/01/17,279045,19869,22073,8630,24839,354464,356344,5,16.0
76,1399/01/18,278513,21204,23844,9073,25870,358518,360360,9,17.0
77,1399/01/19,245291,20148,23919,9082,26697,325152,325900,10,18.0
78,1399/01/20,268439,19790,23084,9137,26955,347415,348831,10,19.0
79,1399/01/21,223491,14261,16690,8109,22310,284873,285978,9,20.0
80,1399/01/22,252577,13652,16215,7723,21462,311640,312698,10,21.0
81,1399/01/23,307455,20869,23369,9227,25633,386561,387435,8,22.0
82,1399/01/24,319648,23663,27433,10121,29969,410846,413198,10,23.0
83,1399/01/25,321342,24658,28821,10974,33066,418874,420584,13,24.0
84,1399/01/26,333466,25479,29832,10842,33092,432725,435315,11,25.0
85,1399/01/27,359838,25993,30045,11574,34056,461518,463348,10,26.0
86,1399/01/28,367539,22702,26047,10739,30185,457216,460284,5,27.0
87,1399/01/29,371421,18285,20815,9404,26233,446158,448577,6,28.0
88,1399/01/30,392902,25558,27735,11380,31039,488614,491798,7,29.0
89,1399/01/31,417638,27358,31886,11928,35252,524062,527423,7,30.0
90,1399/02/01,556696,30487,34375,13734,37815,673107,675675,12,0.0
91,1399/02/02,564329,31121,34987,14091,37937,682465,682843,9,1.0
92,1399/02/03,611012,31217,35233,14848,38396,730708,732452,11,2.0
93,1399/02/04,581567,27745,30859,12946,34707,687830,697654,10,3.0
94,1399/02/05,607871,22286,26146,11220,29960,697493,705229,11,4.0
95,1399/02/06,514364,27717,30345,12379,34182,618994,648204,9,5.0
96,1399/02/07,483150,29152,33535,12684,37865,596393,612869,9,6.0
97,1399/02/08,507414,32395,36804,13230,39926,629778,632996,8,7.0
98,1399/02/09,515737,31385,35642,13354,39864,635986,638182,7,8.0
99,1399/02/10,560434,31827,36157,13577,38285,680286,683170,6,9.0
100,1399/02/11,557950,28324,32143,12837,35289,666543,668611,3,10.0
101,1399/02/12,587974,21743,26728,11119,29898,677468,681518,6,11.0
102,1399/02/13,560201,29516,34097,13445,36051,673320,682496,6,12.0
103,1399/02/14,521036,31411,36870,13508,39334,642166,644696,5,13.0
104,1399/02/15,529262,31460,36190,13967,38977,649866,653738,6,14.0
