,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,532777,44925,26816,21937,58273,684728,699265,3,0.0
1,1398/11/02,543986,43308,26239,20807,53449,687789,698334,9,1.0
2,1398/11/03,532266,36270,21522,17241,45790,653089,667296,8,2.0
3,1398/11/04,603194,30402,17950,17884,41057,710487,721113,7,3.0
4,1398/11/05,512622,41784,23541,19883,49315,647145,664238,8,4.0
5,1398/11/06,557811,50732,29126,21560,59116,718345,734659,53,5.0
6,1398/11/07,572185,51082,29845,21873,60948,735933,752716,5,6.0
7,1398/11/08,794518,55604,31391,24632,62265,968410,986271,8,7.0
8,1398/11/09,757132,41912,24535,22174,50632,896385,910601,11,8.0
9,1398/11/10,653197,40729,23374,23278,50576,791154,799015,9,9.0
10,1398/11/11,855231,40801,21513,20538,42972,981055,1005753,11,10.0
11,1398/11/12,603729,48213,26347,22197,54046,754532,759258,7,11.0
12,1398/11/13,545845,50312,30009,20890,53747,700803,712351,4,12.0
13,1398/11/14,555217,51442,31025,21314,59175,718173,728304,4,13.0
14,1398/11/15,593329,53380,32159,23921,61352,764141,775905,3,14.0
15,1398/11/16,642308,52494,31412,23611,62149,811974,821952,6,15.0
16,1398/11/17,671296,46463,26387,21548,55727,821421,836333,4,16.0
17,1398/11/18,709382,35560,21587,20016,46114,832659,859979,6,17.0
18,1398/11/19,571881,47575,27755,22019,56884,726114,743205,4,18.0
19,1398/11/20,565359,50654,30955,21515,58577,727060,739479,8,19.0
20,1398/11/21,670468,48982,27774,21747,56242,825213,844572,8,20.0
21,1398/11/22,606194,39571,22460,19771,46232,734228,748815,10,21.0
22,1398/11/23,595164,43476,25094,19366,51284,734384,747560,6,22.0
23,1398/11/24,701875,45040,25498,20438,50474,843325,854758,7,23.0
24,1398/11/25,805515,40503,22040,20152,44912,933122,958347,11,24.0
25,1398/11/26,615829,48623,27682,21310,54617,768061,789123,9,25.0
26,1398/11/27,543732,52358,30779,20343,57449,704661,740840,24,26.0
27,1398/11/28,549052,52057,31032,20765,58680,711586,727247,9,27.0
28,1398/11/29,586210,56466,32670,22295,61579,759220,772293,6,28.0
29,1398/11/30,627893,56743,32175,22745,63302,802858,817039,8,29.0
30,1398/12/01,560363,44784,25509,18598,52240,701494,717484,10,0.0
31,1398/12/02,507387,34388,20434,17339,42137,621685,633546,9,1.0
