,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,762515,37932,17136,9357,19882,846822,846854,8,0.0
1,1398/11/02,831964,39770,17412,10098,21066,920310,920363,7,1.0
2,1398/11/03,862773,37286,15806,9725,19895,945485,943762,5,2.0
3,1398/11/04,765145,24010,12300,8133,16526,826114,824487,5,3.0
4,1398/11/05,757006,34278,14478,9202,18507,833471,830223,5,4.0
5,1398/11/06,801016,40791,17766,9372,20640,889591,880333,10,5.0
6,1398/11/07,827638,41768,18652,10051,22823,920936,910507,9,6.0
7,1398/11/08,929478,43232,19060,10557,22424,1024754,1006041,7,7.0
8,1398/11/09,915513,38616,17839,10080,21969,1004023,1037844,9,8.0
9,1398/11/10,976481,37878,15636,9687,19654,1059340,1048025,7,9.0
10,1398/11/11,1037368,29554,13581,8235,17866,1106612,1083472,11,10.0
11,1398/11/12,838355,39191,17545,9742,22112,926949,912560,7,11.0
12,1398/11/13,804008,42136,19292,10103,22296,897838,888461,7,12.0
13,1398/11/14,810978,43012,19479,10510,23066,907045,897599,5,13.0
14,1398/11/15,815127,43237,20181,10622,23391,912561,914054,9,14.0
15,1398/11/16,838632,44095,20759,10765,24541,938792,935301,3,15.0
16,1398/11/17,886395,40089,18202,9832,22738,977266,979153,13,16.0
17,1398/11/18,931072,29752,14942,9142,21114,1006025,990241,2,17.0
18,1398/11/19,832250,43496,20226,10471,23287,929730,925736,1,18.0
19,1398/11/20,742248,41316,20576,10076,24619,838836,839723,5,19.0
20,1398/11/21,502872,27385,13876,7349,17106,568611,592038,21,20.0
21,1398/11/22,418494,17901,8397,4725,10049,459629,518791,58,21.0
22,1398/11/23,407199,15201,7364,4340,10647,444792,506827,41,22.0
23,1398/11/24,498094,18641,9088,4969,15189,546007,569658,24,23.0
24,1398/11/25,581057,19379,9953,5922,16715,633033,636910,13,24.0
25,1398/11/26,714417,31524,15701,8293,21877,791816,790183,8,25.0
26,1398/11/27,730385,37741,18553,9124,23341,819151,815058,11,26.0
27,1398/11/28,701644,38119,18241,9250,23255,790516,794978,10,27.0
28,1398/11/29,751694,40313,19003,9938,24420,845373,844218,11,28.0
29,1398/11/30,817842,43747,20937,10403,24587,917516,916653,9,29.0
30,1398/12/01,832463,40822,18105,9945,22092,923427,926670,16,0.0
31,1398/12/02,797891,26762,13833,8136,18671,865294,868198,16,1.0
32,1398/12/03,794559,41840,18505,10360,22593,887860,890095,16,2.0
33,1398/12/04,762704,46066,20504,11366,24403,865054,868512,22,3.0
34,1398/12/05,724858,45351,19842,11109,25221,826398,829514,24,4.0
35,1398/12/06,660773,43395,20084,10207,25097,759564,769965,16,5.0
36,1398/12/07,642216,38994,18152,9646,23501,732517,740307,13,6.0
37,1398/12/08,686359,39490,16443,8913,22506,773724,779248,16,7.0
38,1398/12/09,563784,27228,14039,7325,20075,632460,635910,14,8.0
39,1398/12/10,644058,40168,17515,8863,21492,732101,733511,10,9.0
40,1398/12/11,565851,40922,18388,8404,21101,654677,662938,15,10.0
41,1398/12/12,512068,36085,16612,7562,19759,592097,600409,15,11.0
42,1398/12/13,542370,36467,16193,7542,20935,623517,626594,12,12.0
43,1398/12/14,603429,38483,16648,8074,22019,688667,692039,14,13.0
44,1398/12/15,621000,37544,15784,7718,21634,703688,704883,15,14.0
45,1398/12/16,472245,25499,12462,6061,17721,533994,536012,11,15.0
46,1398/12/17,545278,35527,14360,6868,17595,619632,622982,9,16.0
47,1398/12/18,483520,32748,13923,6456,17259,553910,571816,7,17.0
48,1398/12/19,552129,35373,14541,7307,18274,627629,637539,9,18.0
49,1398/12/20,538856,37665,15635,7673,19801,619632,621383,6,19.0
50,1398/12/21,555190,37357,16869,7989,21121,638528,641607,5,20.0
51,1398/12/22,564260,35089,15439,7199,19699,641687,643290,3,21.0
52,1398/12/23,470466,23546,12732,6288,17219,530251,531058,4,22.0
53,1398/12/24,589462,35523,15550,7291,20513,668339,671295,4,23.0
54,1398/12/25,603282,38422,17363,7847,20912,687826,688306,4,24.0
55,1398/12/26,604981,36546,15819,7803,19180,684332,691822,6,25.0
56,1398/12/27,597422,33503,13861,7329,16492,668607,670703,4,26.0
