,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,345960,15905,6750,4868,8125,381608,404573,9,0.0
1,1398/11/02,384843,18400,7576,5583,9151,425553,429811,4,1.0
2,1398/11/03,395563,16439,7115,5268,8511,432898,433879,5,2.0
3,1398/11/04,354547,14297,5971,5006,8129,387950,389720,2,3.0
4,1398/11/05,339270,14226,5611,4745,7608,371460,382298,2,4.0
5,1398/11/06,357228,17406,7174,5143,8400,395352,399654,4,5.0
6,1398/11/07,369482,18951,8093,5595,9040,411161,426964,2,6.0
7,1398/11/08,400568,18423,7719,5486,9396,441592,447420,2,7.0
8,1398/11/09,347025,16984,7433,5385,9334,386163,386663,4,8.0
9,1398/11/10,396006,16180,6615,4760,8629,432190,437760,2,9.0
10,1398/11/11,402188,14855,6193,4654,8512,436402,451890,2,10.0
11,1398/11/12,371707,16560,6902,4677,8371,408225,428741,10,11.0
12,1398/11/13,340074,14879,6870,4708,8385,374919,387162,4,12.0
13,1398/11/14,370681,16850,7423,4937,9113,409005,419810,4,13.0
14,1398/11/15,377509,18781,8120,5000,9677,419091,428080,6,14.0
15,1398/11/16,384808,18548,8207,4989,10015,426570,433957,4,15.0
16,1398/11/17,399034,17984,8048,5015,9750,439833,445869,4,16.0
17,1398/11/18,370874,15449,6929,4422,9317,406994,410555,4,17.0
18,1398/11/19,373145,18547,7732,4515,9456,413398,418836,4,18.0
19,1398/11/20,356607,18031,8483,4751,9797,397672,401794,2,19.0
20,1398/11/21,356637,13893,6714,4496,8495,390235,392293,0,20.0
21,1398/11/22,281074,11497,5573,3951,7364,309465,311275,4,21.0
22,1398/11/23,371205,15644,6898,4164,8539,406454,409073,4,22.0
23,1398/11/24,407399,17161,7193,4351,8734,444846,447491,6,23.0
24,1398/11/25,349702,12969,5529,3552,7281,379033,393006,0,24.0
25,1398/11/26,378526,15605,6440,4112,7632,412315,415664,0,25.0
26,1398/11/27,341587,16429,7324,4348,8699,378399,414260,14,26.0
27,1398/11/28,364710,18218,7938,4773,9661,405302,406130,2,27.0
28,1398/11/29,366210,18011,7960,4452,9740,406376,406917,4,28.0
29,1398/11/30,388297,18565,8074,4675,9962,429573,431144,2,29.0
30,1398/12/01,382017,15900,7148,4221,8834,418120,419386,2,0.0
31,1398/12/02,307913,11032,5148,3606,8040,335739,340953,2,1.0
32,1398/12/03,360477,16638,6517,4147,8528,396307,397808,2,2.0
33,1398/12/04,355086,17826,7669,4268,8754,393608,396193,3,3.0
34,1398/12/05,345433,18104,7413,4152,8654,383758,384353,2,4.0
35,1398/12/06,326667,16840,6925,3758,7912,362104,362765,2,5.0
36,1398/12/07,274026,12573,5648,3327,6430,302004,302932,0,6.0
37,1398/12/08,335787,14449,6520,3771,7783,368310,370747,0,7.0
38,1398/12/09,275833,12844,5851,3681,7577,305789,310471,2,8.0
39,1398/12/10,330477,16964,7075,3770,7490,365779,366065,2,9.0
40,1398/12/11,309130,17581,7561,4053,8656,346983,348078,2,10.0
41,1398/12/12,250993,13754,6706,3649,7564,282666,285129,2,11.0
42,1398/12/13,257424,13596,6211,3532,7489,288252,288678,2,12.0
43,1398/12/14,282913,15561,7010,3464,7918,316866,317529,2,13.0
44,1398/12/15,289708,14417,6746,3583,7531,321985,323701,2,14.0
45,1398/12/16,228598,12142,5563,3340,7394,257037,259161,2,15.0
46,1398/12/17,273083,14262,6264,3294,7070,303973,304810,2,16.0
47,1398/12/18,215769,13904,5880,3268,7015,245836,246696,2,17.0
48,1398/12/19,266501,15366,6408,3222,6935,298432,299905,2,18.0
49,1398/12/20,259045,16504,6769,3440,7815,293574,296085,4,19.0
50,1398/12/21,260569,16623,7087,3396,7572,295250,296860,4,20.0
51,1398/12/22,258092,14630,6388,3151,7622,289887,291541,4,21.0
52,1398/12/23,202483,12198,5392,2901,6685,229662,231714,5,22.0
53,1398/12/24,264125,15313,5959,2919,6867,295187,297196,5,23.0
54,1398/12/25,263461,16324,6843,2987,7475,297091,298798,3,24.0
55,1398/12/26,274229,16053,6292,3085,6983,306643,309232,3,25.0
56,1398/12/27,260592,13690,5201,2664,6059,288209,289487,4,26.0
57,1398/12/28,277004,12177,4611,2644,5719,302155,303630,2,27.0
58,1398/12/29,243267,7109,2613,1904,3737,258630,247638,2,28.0
59,1399/01/01,173733,2683,837,741,1454,179448,173135,2,0.0
60,1399/01/02,180306,3462,950,746,1421,186885,199535,2,1.0
61,1399/01/03,180904,4277,1293,996,1849,189319,189506,2,2.0
62,1399/01/04,169746,4524,1380,1083,1925,178658,178734,2,3.0
63,1399/01/05,213160,6444,2226,1447,3058,226335,227347,2,4.0
64,1399/01/06,239761,8599,2966,1848,4067,257241,258333,2,5.0
65,1399/01/07,240061,8533,3072,1891,4233,257792,258789,4,6.0
66,1399/01/08,160292,6770,2386,1785,3604,174837,176906,2,7.0
67,1399/01/09,190021,10317,3757,1873,4315,210283,210937,2,8.0
68,1399/01/10,176705,11222,4277,2119,4903,199226,200192,2,9.0
69,1399/01/11,185795,10746,3938,2153,5145,207777,208374,2,10.0
70,1399/01/12,138396,7310,2719,1726,4319,154470,156747,2,11.0
71,1399/01/13,60818,3309,1271,1001,2568,68967,70231,2,12.0
72,1399/01/14,179770,8360,2910,1520,3628,196191,196936,4,13.0
73,1399/01/15,148269,7689,2919,2120,5101,166098,166588,2,14.0
74,1399/01/16,216799,11461,4533,2409,5065,240267,240306,2,15.0
75,1399/01/17,198473,10992,4752,2768,5717,222702,224140,2,16.0
76,1399/01/18,225473,12950,5607,2998,6435,253463,254194,2,17.0
77,1399/01/19,190609,10553,4798,2817,6101,214881,216176,4,18.0
78,1399/01/20,208196,10249,5002,2996,5737,232181,232807,4,19.0
79,1399/01/21,210541,9972,4264,2724,5445,232949,233181,4,20.0
80,1399/01/22,201592,9270,3592,2103,4598,221156,221650,4,21.0
81,1399/01/23,265174,12681,4903,2562,5186,290509,293355,4,22.0
82,1399/01/24,265859,13710,5922,3364,6868,295725,298802,3,23.0
83,1399/01/25,252318,12779,5262,3385,6562,280306,280672,0,24.0
84,1399/01/26,273561,13659,5911,3412,6972,303516,305170,1,25.0
85,1399/01/27,296448,15013,6509,3766,7557,329295,330153,1,26.0
86,1399/01/28,302642,14370,6158,3257,7260,333687,334056,0,27.0
87,1399/01/29,231350,10796,4365,2584,6397,255494,256179,1,28.0
88,1399/01/30,317023,15345,6262,2973,6933,348540,351006,3,29.0
89,1399/01/31,312419,15668,6706,3447,7725,345965,347197,4,30.0
90,1399/02/01,333905,16820,6995,3473,7226,368419,370336,1,0.0
91,1399/02/02,336128,16871,7199,3826,8354,372382,373063,4,1.0
92,1399/02/03,332180,15711,6283,3566,8073,365818,369059,6,2.0
93,1399/02/04,329588,13240,5969,3682,8151,360634,361384,4,3.0
94,1399/02/05,256125,9298,4360,3371,7253,280409,281491,2,4.0
95,1399/02/06,323404,14738,5611,3476,7424,354657,355572,3,5.0
96,1399/02/07,317491,15978,6447,3635,8148,351705,353289,4,6.0
97,1399/02/08,282022,12618,5557,3617,7585,311400,312513,2,7.0
98,1399/02/09,334124,16546,6512,4019,8159,369362,369842,3,8.0
99,1399/02/10,332579,17195,6532,3631,7666,367605,368382,3,9.0
100,1399/02/11,323447,13938,5640,3231,7234,353494,354270,3,10.0
101,1399/02/12,281231,12008,4547,2960,6831,307579,309579,3,11.0
102,1399/02/13,354069,16809,5872,2994,7263,387010,387908,3,12.0
103,1399/02/14,336581,17456,6774,3362,7570,371745,372955,3,13.0
104,1399/02/15,342171,17539,7104,3401,7824,378039,379216,3,14.0
105,1399/02/16,338201,17413,7508,3574,8293,374993,377066,5,15.0
106,1399/02/17,344516,16897,7318,3831,8114,380680,383935,5,16.0
107,1399/02/18,348167,15243,6375,3342,7738,380866,383280,4,17.0
108,1399/02/19,303519,12852,4930,2857,6940,331100,332286,5,18.0
109,1399/02/20,354440,16782,6498,3223,7504,388447,391008,3,19.0
110,1399/02/21,348194,18456,7767,3472,8178,386070,389830,5,20.0
111,1399/02/22,331725,16076,6810,3560,8415,366590,367738,5,21.0
112,1399/02/23,331291,16933,7067,3476,7982,366749,368001,3,22.0
113,1399/02/24,348225,18204,7327,3664,8239,385659,386883,3,23.0
114,1399/02/25,349768,16387,6541,3297,7385,383380,385717,5,24.0
115,1399/02/26,296646,11754,4363,2462,6482,321707,322377,2,25.0
116,1399/02/27,364977,18639,6833,3385,7798,401632,402865,2,26.0
117,1399/02/28,343511,18730,7556,3668,8638,382104,385996,3,27.0
118,1399/02/29,355566,18653,7659,3889,8452,394219,398091,2,28.0
119,1399/02/30,363254,19321,7853,3833,8104,402369,404091,4,29.0
120,1399/02/31,373923,20002,7845,3807,8244,413821,414795,8,30.0
121,1399/03/01,379758,16669,6988,3533,7686,414634,416476,0,0.0
122,1399/03/02,329610,15062,6383,3150,6829,361034,362768,0,1.0
123,1399/03/03,389173,16097,6554,3370,7123,422317,423628,0,2.0
124,1399/03/04,331059,8524,3903,2437,4753,350676,353039,0,3.0
125,1399/03/05,387764,13228,5179,2932,5586,414691,416365,3,4.0
126,1399/03/06,402121,17165,6834,3347,6916,436383,438767,0,5.0
127,1399/03/07,394871,18523,7821,3701,8294,433210,434657,0,6.0
128,1399/03/08,397887,17460,7788,3713,8116,434964,438300,0,7.0
129,1399/03/09,369845,16083,7007,3272,7671,403878,405498,0,8.0
130,1399/03/10,382123,18770,8309,3434,8169,420805,425807,0,9.0
131,1399/03/11,378804,19216,9182,4067,8721,419991,421385,1,10.0
132,1399/03/12,376087,18742,8374,4054,8926,416183,423173,2,11.0
133,1399/03/13,416356,18239,8100,3961,8972,455632,457581,2,12.0
134,1399/03/14,381197,16352,7306,3811,8297,416965,420172,3,13.0
135,1399/03/15,372741,14604,6445,3419,8206,405420,407420,3,14.0
136,1399/03/16,422324,14568,5946,3415,7937,454192,455999,2,15.0
137,1399/03/17,400672,17422,7234,3499,8404,437232,441836,1,16.0
138,1399/03/18,381377,19367,8533,4008,9439,422726,424876,2,17.0
139,1399/03/19,366655,19877,9188,4018,10031,409769,413182,0,18.0
140,1399/03/20,348568,19171,8838,3856,9580,390018,396858,3,19.0
141,1399/03/21,353458,19228,8704,3934,9500,394828,398067,3,20.0
142,1399/03/22,357821,17277,7716,3930,9578,396325,400930,4,21.0
143,1399/03/23,324154,14572,6557,3191,8677,357153,361597,3,22.0
144,1399/03/24,357542,17605,7738,3481,8801,395168,396193,1,23.0
145,1399/03/25,359284,18646,8686,3891,10188,400698,401438,3,24.0
146,1399/03/26,360589,19264,8703,4250,10718,403528,404204,4,25.0
147,1399/03/27,362018,18526,8399,4140,10290,403378,403997,4,26.0
148,1399/03/28,317522,17477,7617,3649,9498,355763,357332,1,27.0
149,1399/03/29,366920,16019,7151,3533,9455,403080,405558,2,28.0
150,1399/03/30,343946,14443,6072,3223,8942,376626,378532,3,29.0
151,1399/03/31,364241,17235,7098,3560,9348,401482,412618,5,30.0
