,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,353827,31429,18818,5788,32232,442094,442643,5,0.0
1,1398/11/02,323728,27362,15956,5353,26114,398515,401919,7,1.0
2,1398/11/03,272855,21304,14160,4943,26036,339301,341565,7,2.0
3,1398/11/04,294643,21097,13903,4866,26980,361489,366705,5,3.0
4,1398/11/05,360970,27901,15864,5681,28428,438844,439433,5,4.0
5,1398/11/06,376678,32773,19091,5971,34417,468935,470352,9,5.0
6,1398/11/07,378747,32942,18934,5922,34431,470977,489658,6,6.0
7,1398/11/08,448669,33298,18525,5750,33184,539430,550696,10,7.0
8,1398/11/09,387995,29442,17879,5672,33187,474175,475260,1,8.0
9,1398/11/10,415847,27118,14634,5101,28234,490934,492216,1,9.0
10,1398/11/11,480154,27982,15921,5157,31857,561071,561287,1,10.0
11,1398/11/12,311127,23925,13768,5012,26881,380713,389828,1,11.0
12,1398/11/13,377682,31038,18067,5629,34572,466990,471292,5,12.0
13,1398/11/14,383508,33696,20209,5617,35589,478619,482344,1,13.0
14,1398/11/15,392722,35166,20721,5819,36700,491129,495155,2,14.0
15,1398/11/16,416472,35514,20809,5924,37714,516437,532745,4,15.0
16,1398/11/17,425498,31275,17575,5409,33355,513114,515235,2,16.0
17,1398/11/18,390522,27757,16497,5645,33548,473972,475372,2,17.0
18,1398/11/19,376094,30266,17079,5686,32526,461657,472656,6,18.0
19,1398/11/20,349644,31533,18674,5451,34236,439541,444798,6,19.0
20,1398/11/21,323795,26358,15944,5109,29427,400636,405131,3,20.0
21,1398/11/22,261967,21497,15496,4895,29091,332947,339945,2,21.0
22,1398/11/23,330283,24752,14490,5050,28235,402815,411284,4,22.0
23,1398/11/24,381235,27358,14533,4811,29834,457773,462341,4,23.0
24,1398/11/25,413662,26706,14975,4841,31314,491505,498140,8,24.0
25,1398/11/26,416901,32695,17555,5535,32596,505289,511661,8,25.0
26,1398/11/27,386406,34787,19868,5851,36562,483483,489507,6,26.0
27,1398/11/28,318199,31359,18671,5430,35590,409254,422263,4,27.0
28,1398/11/29,384647,35533,20782,5758,37641,484366,487566,2,28.0
29,1398/11/30,393851,35741,20615,5685,36045,491937,496424,0,29.0
30,1398/12/01,325740,24890,14838,4686,30528,400682,403445,2,0.0
31,1398/12/02,341715,24208,14917,4914,30740,416494,417825,0,1.0
32,1398/12/03,407071,33989,18398,5628,32759,497847,500591,1,2.0
33,1398/12/04,402044,37445,21418,5908,36239,503061,508988,7,3.0
34,1398/12/05,377956,37269,21865,5933,37002,480025,487617,0,4.0
35,1398/12/06,282692,27722,17731,5281,29661,363087,368217,0,5.0
36,1398/12/07,289602,27423,17751,4668,29834,369278,371358,0,6.0
37,1398/12/08,365012,30428,18108,4729,29361,447638,448365,0,7.0
38,1398/12/09,305597,27701,17596,4616,30508,386018,392188,0,8.0
39,1398/12/10,367147,33525,18395,4828,29758,453653,461644,0,9.0
40,1398/12/11,350523,35396,20607,5197,34581,446306,448870,2,10.0
41,1398/12/12,323859,34188,20846,5062,35414,419380,421404,10,11.0
42,1398/12/13,334979,35620,21531,5011,37268,434412,439296,4,12.0
43,1398/12/14,344385,35349,21102,4840,36439,442123,450943,8,13.0
44,1398/12/15,355281,32911,19400,4246,34693,446542,454554,8,14.0
45,1398/12/16,290717,27991,17753,4122,33007,373596,375792,6,15.0
46,1398/12/17,329430,31968,18679,4487,30714,415288,420812,8,16.0
47,1398/12/18,306656,31740,19536,4282,33581,395804,397718,6,17.0
48,1398/12/19,338166,35416,20651,4591,32978,431813,435612,9,18.0
49,1398/12/20,338526,37129,22076,4747,35327,437805,444918,0,19.0
50,1398/12/21,346140,35908,21852,4817,35419,444136,445427,0,20.0
51,1398/12/22,359946,33380,19361,4289,32908,449887,452514,4,21.0
52,1398/12/23,290577,28176,17710,3954,31697,372116,375132,2,22.0
53,1398/12/24,345858,31949,17641,4149,29205,428808,433593,4,23.0
54,1398/12/25,350793,33435,18884,4144,30790,438050,442136,4,24.0
55,1398/12/26,354469,31833,17216,3879,27297,434699,436064,3,25.0
56,1398/12/27,355326,29392,15316,3706,23658,427403,429953,4,26.0
57,1398/12/28,343079,23563,11978,2865,18235,399720,402034,0,27.0
58,1398/12/29,344964,15334,7727,2156,11657,381838,382915,0,28.0
59,1399/01/01,216886,8768,3976,1221,6574,237425,241751,4,0.0
60,1399/01/02,204191,8565,4079,1239,6640,224714,239739,4,1.0
61,1399/01/03,179901,9273,5562,1173,7956,203867,205302,4,2.0
62,1399/01/04,186850,8990,5217,1467,9556,212082,213530,3,3.0
63,1399/01/05,243782,13822,7474,2043,13170,280294,281965,2,4.0
64,1399/01/06,275234,17178,9066,2546,16345,320369,322746,0,5.0
65,1399/01/07,261075,17799,10059,2549,17363,308847,310752,2,6.0
66,1399/01/08,198298,14602,9416,2580,17293,242191,251707,2,7.0
67,1399/01/09,191492,16300,9608,2651,17931,237984,239808,2,8.0
68,1399/01/10,188135,17837,10616,2832,19154,238582,242206,9,9.0
69,1399/01/11,196054,19150,10893,2704,18360,247163,248746,2,10.0
70,1399/01/12,167520,14896,8641,2443,15823,209323,210529,0,11.0
71,1399/01/13,104398,7778,5898,1586,9446,129111,135038,6,12.0
72,1399/01/14,219895,14188,7908,2339,16061,260405,262278,11,13.0
73,1399/01/15,228566,17484,10319,3014,18783,278176,282547,8,14.0
74,1399/01/16,248166,22239,11887,3803,22454,308556,324183,7,15.0
75,1399/01/17,255079,25304,14268,4042,25967,324660,328459,0,16.0
76,1399/01/18,248544,26353,15066,4174,27382,321521,324555,2,17.0
77,1399/01/19,227044,23653,13502,3698,24943,292842,313571,4,18.0
78,1399/01/20,242505,24772,14125,3627,26131,311164,318780,4,19.0
79,1399/01/21,195873,18942,12185,3376,24644,255029,258106,10,20.0
80,1399/01/22,195053,16406,11091,3354,24218,250128,255835,4,21.0
81,1399/01/23,297031,25262,14444,4072,25060,365876,374957,4,22.0
82,1399/01/24,294063,29757,16602,4222,28006,372654,395971,4,23.0
83,1399/01/25,306671,31991,18810,4548,30730,392753,395002,5,24.0
84,1399/01/26,311836,32727,18656,4808,32148,400179,403338,4,25.0
85,1399/01/27,327048,33023,19361,4549,30853,414835,417689,2,26.0
86,1399/01/28,341504,29535,16613,4492,29370,421516,424918,1,27.0
87,1399/01/29,314988,24376,14407,4076,26869,384718,390955,2,28.0
88,1399/01/30,370253,31627,17019,4381,28206,451486,459787,0,29.0
89,1399/01/31,374545,33710,18942,4603,30397,462197,465276,0,30.0
90,1399/02/01,407636,34775,19359,4666,31117,497553,503214,0,0.0
91,1399/02/02,408419,35909,19169,4608,32073,500182,503163,2,1.0
92,1399/02/03,420211,35545,19434,4862,32437,512492,517473,2,2.0
93,1399/02/04,415392,31823,17436,4679,31163,500501,505385,6,3.0
94,1399/02/05,376553,25119,15778,4078,28705,450242,451960,6,4.0
95,1399/02/06,397046,32817,17787,4342,29454,481453,487613,4,5.0
96,1399/02/07,353001,32491,19342,4318,31254,440412,446859,4,6.0
97,1399/02/08,384412,35231,20237,4662,35574,480119,487184,2,7.0
98,1399/02/09,376656,36638,20594,4660,34208,472756,482723,1,8.0
99,1399/02/10,376923,35396,20529,4294,33894,471036,475326,1,9.0
100,1399/02/11,391072,31076,17044,3927,31324,474445,478350,3,10.0
101,1399/02/12,365575,25349,15295,3784,29631,439634,443939,1,11.0
102,1399/02/13,401930,32434,17408,3969,30008,485756,491587,7,12.0
103,1399/02/14,388045,34415,19250,4352,33861,479927,488700,5,13.0
104,1399/02/15,392289,34991,19558,4278,35391,486516,491677,7,14.0
105,1399/02/16,387224,35284,19816,4230,34905,481465,487776,8,15.0
106,1399/02/17,379572,33828,19327,4141,33837,470717,476333,14,16.0
107,1399/02/18,402960,31430,16999,3970,31693,487058,490621,8,17.0
108,1399/02/19,367786,25540,15148,3553,28239,440268,442055,6,18.0
109,1399/02/20,410319,33123,17461,3994,30107,495005,500148,5,19.0
110,1399/02/21,389758,34898,19383,4063,34115,482220,486561,6,20.0
111,1399/02/22,392188,35820,20262,4244,33345,485861,492872,6,21.0
112,1399/02/23,390126,35821,20087,4053,35086,485179,488008,8,22.0
113,1399/02/24,384062,34788,20579,3950,34404,477783,479120,4,23.0
114,1399/02/25,384916,31252,17571,3627,30596,467966,474197,6,24.0
115,1399/02/26,315146,20180,13940,2824,25910,378000,380522,4,25.0
116,1399/02/27,406418,33223,18795,3920,31133,493493,496369,8,26.0
117,1399/02/28,381210,35448,20419,3887,33126,474096,477910,10,27.0
118,1399/02/29,388098,36223,21191,4060,36264,485853,493144,16,28.0
119,1399/02/30,385537,36112,20833,4155,35776,482421,486452,12,29.0
120,1399/02/31,418041,36143,20975,4133,34768,514060,523912,6,30.0
121,1399/03/01,523422,35632,18949,4719,35972,618694,627211,10,0.0
122,1399/03/02,439369,27271,15955,4169,30475,517239,523091,4,1.0
123,1399/03/03,498842,33095,16200,4214,29213,581571,586751,10,2.0
124,1399/03/04,465894,25301,13397,3562,23338,531499,535887,10,3.0
125,1399/03/05,558872,31479,15286,4076,26567,636290,640651,12,4.0
126,1399/03/06,509333,36442,18978,4712,31987,601465,606914,12,5.0
127,1399/03/07,478204,38179,20640,4803,35484,577314,582127,6,6.0
128,1399/03/08,488634,36032,19222,4662,34381,582935,588285,6,7.0
129,1399/03/09,501511,30858,17369,4489,34027,588258,592816,4,8.0
130,1399/03/10,470244,36733,19653,4570,36174,567379,573439,6,9.0
131,1399/03/11,460009,39390,22229,4783,40129,566543,567992,4,10.0
132,1399/03/12,471323,40480,22872,4882,40867,580428,588692,2,11.0
