,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,330505,23284,16248,7722,49917,427676,443653,7,0.0
1,1398/11/02,337429,23121,15585,8747,50001,434884,455419,5,1.0
2,1398/11/03,305961,19788,13411,8150,39133,386446,403666,6,2.0
3,1398/11/04,289308,16639,11284,6264,35167,358668,376699,6,3.0
4,1398/11/05,287645,20710,13859,7590,40091,369911,393830,10,4.0
5,1398/11/06,300640,22382,15237,7876,41236,387448,416668,67,5.0
6,1398/11/07,314562,24262,16676,8200,42482,406201,440576,12,6.0
7,1398/11/08,368462,26037,17577,8721,43229,464054,506670,15,7.0
8,1398/11/09,339252,22457,14834,8611,41186,426360,455449,11,8.0
9,1398/11/10,353557,23431,15452,7908,37424,437786,477149,9,9.0
10,1398/11/11,366836,22289,12279,6854,34167,442438,492044,7,10.0
11,1398/11/12,306047,21940,12666,7464,36294,384426,430875,14,11.0
12,1398/11/13,276115,21511,12785,7214,37011,354653,409021,14,12.0
13,1398/11/14,269067,21153,12808,7149,38269,348455,399199,10,13.0
14,1398/11/15,288299,22679,12990,7585,41677,373245,406256,13,14.0
15,1398/11/16,291387,21486,12769,7599,40650,373906,424433,11,15.0
16,1398/11/17,305877,22762,13418,7215,38922,388216,419271,14,16.0
17,1398/11/18,311928,20257,12688,6660,32417,383963,408952,11,17.0
18,1398/11/19,303859,22981,13483,7470,35851,383657,402476,13,18.0
19,1398/11/20,300173,21751,13413,7576,38298,381223,401581,11,19.0
20,1398/11/21,337120,22628,13421,7806,36962,417953,441947,15,20.0
21,1398/11/22,326314,19101,12720,7610,34432,400194,424359,19,21.0
22,1398/11/23,341929,19332,12387,7174,32490,413331,441037,20,22.0
23,1398/11/24,344390,19690,12437,6878,31413,414819,445408,15,23.0
24,1398/11/25,340409,18849,12015,6400,28637,406319,448454,21,24.0
25,1398/11/26,336351,21704,13760,8063,36067,415947,442208,14,25.0
26,1398/11/27,341221,23263,14223,8846,36326,423883,451553,16,26.0
27,1398/11/28,338762,23142,14694,8652,38240,423496,456351,21,27.0
28,1398/11/29,339363,24869,15138,9027,37767,426169,458776,27,28.0
29,1398/11/30,353042,23040,15010,8988,39180,439260,473862,29,29.0
30,1398/12/01,319189,22431,11270,7802,42735,403427,414033,28,0.0
31,1398/12/02,298446,20451,10403,7114,39431,375845,384779,21,1.0
32,1398/12/03,295173,23930,11174,7984,41275,379536,387929,13,2.0
33,1398/12/04,282993,24994,11882,8080,42137,370095,383709,17,3.0
34,1398/12/05,286084,25560,12704,8587,46080,379034,391569,24,4.0
35,1398/12/06,275740,24554,12082,8164,46315,366878,391619,27,5.0
36,1398/12/07,281766,24018,11754,8177,48183,373911,384009,19,6.0
37,1398/12/08,277041,24111,11699,7908,46241,367010,377523,19,7.0
38,1398/12/09,252992,21813,11096,6780,38909,331593,340253,13,8.0
39,1398/12/10,260049,24446,11833,7916,41190,345437,356636,13,9.0
40,1398/12/11,253106,24857,12164,7824,42253,340208,348685,12,10.0
41,1398/12/12,254985,25183,12444,7906,45666,346208,351545,23,11.0
42,1398/12/13,252725,24198,12159,7903,46633,343638,348123,21,12.0
43,1398/12/14,255801,23572,11683,7653,45047,343775,351125,20,13.0
44,1398/12/15,259670,24491,12502,7909,44155,348748,354340,24,14.0
45,1398/12/16,238053,21003,11302,6619,39664,316658,323704,22,15.0
46,1398/12/17,251678,22871,11787,7897,46777,341034,347000,25,16.0
47,1398/12/18,239228,21852,11880,7984,45764,326719,329105,17,17.0
48,1398/12/19,243609,22029,11682,8148,46443,331929,337162,20,18.0
49,1398/12/20,238652,21909,11638,7998,47760,327970,332824,19,19.0
50,1398/12/21,241315,21090,11442,7907,49063,330826,336941,12,20.0
51,1398/12/22,241991,22149,12409,7795,49215,333565,338158,14,21.0
52,1398/12/23,224240,19408,11313,6686,41488,303145,306198,14,22.0
53,1398/12/24,236396,21996,11309,6864,41791,318363,325998,15,23.0
54,1398/12/25,240035,20631,12838,7008,39797,320346,327479,44,24.0
55,1398/12/26,249432,21138,13992,7601,39652,331821,341066,16,25.0
56,1398/12/27,256515,20946,13968,7537,34400,333372,338922,16,26.0
57,1398/12/28,261942,17420,11324,6358,27340,324387,330296,12,27.0
58,1398/12/29,238101,14537,9056,4413,18062,284169,288960,19,28.0
59,1399/01/01,149662,8249,5409,1490,5967,170777,177914,12,0.0
60,1399/01/02,153365,10334,6837,2385,9888,182812,195235,15,1.0
61,1399/01/03,141379,9486,6938,2803,14408,175030,179772,23,2.0
62,1399/01/04,155663,11650,7990,3632,18032,196998,201693,34,3.0
63,1399/01/05,166402,14026,9373,4863,23146,217829,228244,22,4.0
64,1399/01/06,172827,14855,10206,5929,29019,232855,242436,17,5.0
65,1399/01/07,179696,17244,11570,6704,30807,246033,250096,11,6.0
66,1399/01/08,141862,16753,11243,6098,28246,204210,209953,8,7.0
67,1399/01/09,146064,16778,11625,6776,31763,213016,218408,9,8.0
