,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,86335,7878,7058,4259,19318,124848,127151,6,0.0
1,1398/11/02,89935,8123,6718,4192,17963,126933,129145,8,1.0
2,1398/11/03,90522,6585,5997,3955,15417,122479,124469,8,2.0
3,1398/11/04,89924,5526,5424,3709,14892,119482,125431,10,3.0
4,1398/11/05,85610,7094,5524,3902,14854,116991,120950,9,4.0
5,1398/11/06,86937,7413,6446,4245,17708,122759,126266,9,5.0
6,1398/11/07,88110,7584,6574,4262,17939,124475,132375,7,6.0
7,1398/11/08,103345,7954,6278,4307,17470,139362,146020,11,7.0
8,1398/11/09,94663,6311,6095,3971,17102,128151,131279,13,8.0
9,1398/11/10,99762,7028,5254,3928,15794,131773,136082,9,9.0
10,1398/11/11,116625,6508,6005,4101,17916,151155,153183,3,10.0
11,1398/11/12,95541,7511,5745,4536,17663,130999,134072,5,11.0
12,1398/11/13,86199,7854,6420,4143,19190,123806,128487,2,12.0
13,1398/11/14,86260,7971,6670,4544,20154,125604,129703,4,13.0
14,1398/11/15,89315,8143,7079,4431,19771,128749,133448,9,14.0
15,1398/11/16,95401,8350,7012,4559,19504,134839,138126,8,15.0
16,1398/11/17,99480,7641,6405,4247,18186,135974,139461,7,16.0
17,1398/11/18,99977,6195,5864,4138,18681,134862,137224,4,17.0
18,1398/11/19,89922,7694,6064,4521,18228,126436,129920,6,18.0
19,1398/11/20,94932,8603,7250,4844,20677,136311,137623,5,19.0
20,1398/11/21,107964,8884,6795,4864,19786,148298,151117,4,20.0
21,1398/11/22,88748,6629,6404,4439,19431,125656,127767,4,21.0
22,1398/11/23,93701,7812,5988,4359,18961,130827,133131,4,22.0
23,1398/11/24,102586,7785,6227,4404,19014,140021,142783,5,23.0
24,1398/11/25,125052,6877,6434,4206,19318,161891,164572,5,24.0
25,1398/11/26,95242,7966,5750,4634,19181,132777,137411,5,25.0
26,1398/11/27,90148,8405,6799,4739,20531,130634,136271,13,26.0
27,1398/11/28,90250,8686,7130,4833,20751,131650,136104,6,27.0
28,1398/11/29,88077,8888,7352,4894,20996,130210,133503,8,28.0
29,1398/11/30,95215,9013,7264,4831,20383,136706,139893,6,29.0
30,1398/12/01,99082,8210,6146,4471,19441,137350,139697,6,0.0
31,1398/12/02,95315,6124,6083,4196,18828,130546,132766,3,1.0
32,1398/12/03,90243,8037,6389,4630,18567,127866,130059,3,2.0
33,1398/12/04,93011,8579,7345,4798,20699,134440,137253,9,3.0
34,1398/12/05,92992,8771,7764,4730,21906,136171,138528,8,4.0
35,1398/12/06,87483,8548,7566,4581,21317,129507,133814,11,5.0
36,1398/12/07,84341,8184,7105,4684,19922,124242,129476,5,6.0
37,1398/12/08,87424,7421,6153,4154,18236,123390,127445,3,7.0
38,1398/12/09,94122,6209,6407,4359,19137,130236,131836,5,8.0
39,1398/12/10,86066,8066,6413,4357,18662,123566,126544,5,9.0
40,1398/12/11,85991,8727,7507,4812,21307,128348,130341,4,10.0
41,1398/12/12,83333,8944,7642,5205,22544,127671,129934,5,11.0
42,1398/12/13,82423,8776,7517,5167,22661,126554,129293,13,12.0
43,1398/12/14,81320,8609,7666,5290,22397,125287,128467,6,13.0
44,1398/12/15,94033,8134,6749,5074,21317,135308,137114,3,14.0
45,1398/12/16,87189,6585,6599,4700,20938,126014,128390,1,15.0
46,1398/12/17,83067,8116,6371,4674,18176,120408,121767,2,16.0
47,1398/12/18,81575,7473,6822,4643,20125,120640,120955,2,17.0
48,1398/12/19,81295,8523,6551,4620,19889,120881,122191,2,18.0
49,1398/12/20,78276,8629,7224,4973,21671,120778,122843,2,19.0
50,1398/12/21,79425,8674,7252,4980,21710,122049,124075,5,20.0
51,1398/12/22,80699,8429,6722,4723,19354,119932,121980,3,21.0
52,1398/12/23,78576,6529,6268,4106,17998,113477,115183,1,22.0
53,1398/12/24,77699,8131,6154,4074,16703,112761,114247,0,23.0
54,1398/12/25,78287,8620,6861,3514,15979,113263,115417,1,24.0
55,1398/12/26,78514,7991,6353,2815,13777,109453,110833,3,25.0
56,1398/12/27,80245,7896,5698,2559,12397,108799,109916,5,26.0
57,1398/12/28,82842,7188,5008,1827,9968,106833,108049,6,27.0
58,1398/12/29,75382,4711,3383,1141,6900,91517,91715,6,28.0
59,1399/01/01,63311,2256,1532,592,2899,70590,77469,4,0.0
60,1399/01/02,63866,2485,1581,612,3162,71706,77323,2,1.0
61,1399/01/03,60769,2602,1781,699,3562,69416,69775,4,2.0
62,1399/01/04,59471,2724,1860,680,4323,69062,69921,6,3.0
63,1399/01/05,59395,2902,2114,923,5093,70429,72796,8,4.0
64,1399/01/06,70024,4289,3209,1279,6921,85726,87719,5,5.0
65,1399/01/07,77009,4743,3512,1596,8325,95188,97016,5,6.0
66,1399/01/08,69526,3980,3369,1692,9839,88406,90768,3,7.0
67,1399/01/09,61368,4798,3364,1817,9151,80498,82997,5,8.0
68,1399/01/10,52878,4708,3815,1843,9900,73144,74858,3,9.0
69,1399/01/11,50170,3841,3214,1482,8334,67044,68641,6,10.0
70,1399/01/12,50307,3055,2301,1226,6944,63833,66991,1,11.0
71,1399/01/13,42030,2456,1993,942,4964,52385,55080,1,12.0
72,1399/01/14,60759,3907,2777,1370,6664,75477,77365,1,13.0
73,1399/01/15,66605,3915,3348,1430,8457,83765,86374,13,14.0
74,1399/01/16,63472,5553,4128,1921,9785,84865,89176,7,15.0
75,1399/01/17,63374,6449,5054,2616,12623,90120,92791,5,16.0
76,1399/01/18,65876,6984,5531,2743,14061,95199,96834,7,17.0
77,1399/01/19,64343,6443,5312,2884,15325,94309,98712,3,18.0
78,1399/01/20,67727,6892,5767,2811,14871,98068,100634,1,19.0
79,1399/01/21,63622,4927,4321,2671,13264,88807,89108,3,20.0
80,1399/01/22,74660,4388,4225,2722,15333,101333,102890,7,21.0
81,1399/01/23,67210,5627,4370,3042,14449,94701,98494,3,22.0
