,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,504014,28491,37124,12599,51369,633597,638734,23,0.0
1,1398/11/02,482927,24835,31774,12332,48302,600170,606796,15,1.0
2,1398/11/03,522538,23955,31261,11564,45863,635191,641520,20,2.0
3,1398/11/04,539039,22282,29731,10874,43647,645585,657846,16,3.0
4,1398/11/05,476876,24741,33066,11283,43768,589751,600333,19,4.0
5,1398/11/06,490404,27947,36505,12742,51658,619269,629816,17,5.0
6,1398/11/07,516169,29485,38346,13436,54274,651722,662808,16,6.0
7,1398/11/08,583527,29693,39750,13814,54286,721080,731828,15,7.0
8,1398/11/09,527902,24445,35315,13889,48962,650524,659546,13,8.0
9,1398/11/10,596196,26288,34704,13496,47780,718476,726409,12,9.0
10,1398/11/11,651269,25405,33692,12583,45201,768161,779045,12,10.0
11,1398/11/12,521544,26942,35133,13919,47784,645331,655107,11,11.0
12,1398/11/13,518877,28909,37918,14104,51747,651564,661309,12,12.0
13,1398/11/14,527832,29536,38998,14071,53668,664111,672181,8,13.0
14,1398/11/15,536435,29415,39961,14730,56347,676899,687516,12,14.0
15,1398/11/16,572139,29380,39739,15060,55214,711532,718887,4,15.0
16,1398/11/17,567697,24881,34995,13491,50312,691380,699530,6,16.0
17,1398/11/18,584341,21682,30589,11534,44476,692625,701869,8,17.0
18,1398/11/19,521876,26858,36283,13252,48982,647256,655646,8,18.0
19,1398/11/20,516720,27923,39515,14517,52811,651486,658124,4,19.0
20,1398/11/21,556333,28148,39120,13819,51048,688473,696484,8,20.0
21,1398/11/22,458044,22807,33867,12668,45651,573043,580275,10,21.0
22,1398/11/23,562040,27960,36812,13255,49412,689486,696043,10,22.0
23,1398/11/24,598837,26924,36018,13361,49040,724186,730520,11,23.0
24,1398/11/25,642797,23470,31778,12181,45134,755363,761836,8,24.0
25,1398/11/26,551568,27788,36394,13565,49585,678904,685770,8,25.0
26,1398/11/27,531462,28965,38852,14332,53827,667443,677541,11,26.0
27,1398/11/28,515420,27556,38020,14040,51655,646692,659171,9,27.0
28,1398/11/29,526804,27337,37916,14155,51381,657593,667290,9,28.0
29,1398/11/30,573201,27867,38665,14273,51427,705433,716192,10,29.0
30,1398/12/01,528548,23333,32079,13285,49762,647007,654165,17,0.0
31,1398/12/02,503205,21093,28677,12037,46637,611653,614588,21,1.0
32,1398/12/03,534716,29370,37178,14283,54321,669876,675322,24,2.0
33,1398/12/04,543946,29928,39418,15296,56617,685212,690504,20,3.0
