,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,94376,5077,1788,980,2723,104944,106447,2,0.0
1,1398/11/02,75339,3300,1340,823,2134,82939,88352,4,1.0
2,1398/11/03,85490,3340,1309,865,1938,92942,96972,2,2.0
3,1398/11/04,99274,3755,1454,888,2298,107669,110508,2,3.0
4,1398/11/05,84838,3877,1441,840,2155,93151,94619,0,4.0
5,1398/11/06,79893,4113,1820,1063,2698,89592,91983,3,5.0
6,1398/11/07,85945,4780,1990,977,2837,96534,102004,3,6.0
7,1398/11/08,95730,5054,2031,1006,3144,106969,112164,3,7.0
8,1398/11/09,93425,4710,1935,1130,3202,104406,107972,4,8.0
9,1398/11/10,98551,4725,1726,971,2882,108863,111733,4,9.0
10,1398/11/11,105358,5187,1769,1141,3234,116696,118795,6,10.0
11,1398/11/12,82849,4179,1726,1007,2867,92634,96058,4,11.0
12,1398/11/13,84210,4708,1898,1019,2943,94785,98161,6,12.0
13,1398/11/14,88057,4939,2049,1027,3313,99391,101501,4,13.0
14,1398/11/15,88596,5163,2128,1092,3334,100316,103261,2,14.0
15,1398/11/16,95598,4972,1930,1182,3537,107219,108327,0,15.0
16,1398/11/17,98020,4567,1619,1100,3025,108332,111373,1,16.0
17,1398/11/18,107340,4648,1638,1127,3180,117933,120275,0,17.0
18,1398/11/19,79700,3989,1535,935,2808,88970,92959,2,18.0
19,1398/11/20,85338,5086,1926,1065,3383,96803,98784,4,19.0
20,1398/11/21,97958,5248,1983,1046,3449,109687,113167,2,20.0
21,1398/11/22,96284,5617,1928,1313,3859,109002,115488,2,21.0
22,1398/11/23,100274,5564,1943,1063,3341,112189,113909,2,22.0
23,1398/11/24,112718,5615,1829,1066,3796,125027,129206,4,23.0
24,1398/11/25,131321,6215,2093,1125,3986,144743,149704,2,24.0
25,1398/11/26,94096,5580,1970,1116,3697,106461,109795,2,25.0
26,1398/11/27,96361,5719,2224,1154,3949,109407,112836,2,26.0
27,1398/11/28,88887,5055,2053,1098,4098,101191,106045,4,27.0
28,1398/11/29,96803,5616,2190,1137,4341,110091,112891,6,28.0
29,1398/11/30,101040,5349,2111,1115,4320,113935,117168,6,29.0
30,1398/12/01,93435,4425,1660,938,3064,103522,108058,10,0.0
31,1398/12/02,94437,4498,1572,1004,3159,104676,108754,8,1.0
32,1398/12/03,94779,5047,1737,1001,3230,105799,110640,5,2.0
33,1398/12/04,96387,5366,1950,1113,3825,108648,112629,6,3.0
34,1398/12/05,90926,5091,2142,1019,4312,103494,106158,2,4.0
35,1398/12/06,88054,4888,2019,1025,4365,100362,103119,8,5.0
36,1398/12/07,85662,4641,1977,998,3409,96701,99617,10,6.0
37,1398/12/08,90811,5162,2008,988,4030,103003,106623,2,7.0
38,1398/12/09,88958,4720,1882,993,3785,100341,103524,2,8.0
39,1398/12/10,84940,4867,2012,988,3939,96753,100658,4,9.0
40,1398/12/11,86339,5466,2230,1045,3990,99070,102882,0,10.0
