,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,154538,11432,9698,2018,9258,186944,187632,0,0.0
1,1398/11/02,139405,9716,8047,1728,8208,167104,170468,0,1.0
2,1398/11/03,156640,9452,7707,1852,8251,183904,186710,2,2.0
3,1398/11/04,149171,7965,7181,1952,7377,173649,175018,2,3.0
4,1398/11/05,151153,10144,8152,1931,8136,179520,181714,4,4.0
5,1398/11/06,171501,12372,9694,2258,9368,205197,207531,3,5.0
6,1398/11/07,175497,13232,10769,2465,9611,211576,212788,3,6.0
7,1398/11/08,196804,13609,10680,2363,10245,233703,235510,1,7.0
8,1398/11/09,178389,12220,10007,2197,9329,212142,212202,0,8.0
9,1398/11/10,189728,11833,8869,2077,8599,221108,222668,2,9.0
10,1398/11/11,211450,10640,8689,2132,9631,242545,243811,4,10.0
11,1398/11/12,97459,6669,5660,1603,6161,117557,141430,4,11.0
12,1398/11/13,148624,11197,9647,2194,9415,181079,182177,2,12.0
13,1398/11/14,165735,12148,10241,2378,10152,200664,201918,6,13.0
14,1398/11/15,159706,12762,10554,2352,9972,195349,196850,2,14.0
15,1398/11/16,168246,12189,10378,2396,10775,203984,206436,0,15.0
16,1398/11/17,185039,12104,10023,2409,10549,220124,222105,0,16.0
17,1398/11/18,188982,10077,8519,2060,10263,219901,221563,0,17.0
18,1398/11/19,128070,9186,7483,1952,7588,154280,158006,2,18.0
19,1398/11/20,104559,8489,7761,1587,5545,127945,134939,4,19.0
20,1398/11/21,122650,9234,7929,1868,7834,149515,153244,0,20.0
21,1398/11/22,121394,8768,8112,1972,6968,147220,150052,6,21.0
22,1398/11/23,150048,9963,8333,1860,8021,178228,181544,4,22.0
23,1398/11/24,152772,9466,8252,1805,7750,180047,183732,4,23.0
24,1398/11/25,176467,9374,8601,1967,8885,205294,207675,0,24.0
25,1398/11/26,182406,12295,10204,2249,9525,216684,218489,3,25.0
26,1398/11/27,171620,13364,11501,2709,10497,209694,216398,3,26.0
27,1398/11/28,118760,9662,9137,2285,8730,148579,156160,4,27.0
28,1398/11/29,162172,12406,11323,2777,10918,199598,206251,3,28.0
29,1398/11/30,163671,11959,10725,2693,10326,199374,204968,4,29.0
30,1398/12/01,161432,9478,8602,1866,8329,189707,190917,4,0.0
31,1398/12/02,172555,9106,8308,1972,8511,200452,202733,2,1.0
32,1398/12/03,179205,12283,9641,2241,9150,212522,214776,2,2.0
33,1398/12/04,181156,13703,11446,2510,10117,218934,224624,2,3.0
34,1398/12/05,174344,13535,11362,2492,10190,211925,218731,2,4.0
35,1398/12/06,140509,10346,9012,1787,8264,169922,173624,4,5.0
36,1398/12/07,134281,9845,8966,1891,8344,163334,169005,8,6.0
37,1398/12/08,169888,11602,10000,2141,8917,202553,208057,6,7.0
38,1398/12/09,158371,10235,9529,2076,8583,188798,194866,4,8.0
39,1398/12/10,171094,13072,10427,2205,9536,206334,209789,0,9.0
40,1398/12/11,156035,13332,11144,2226,9657,192394,195346,0,10.0
41,1398/12/12,134714,12142,10400,2082,9900,169238,174201,0,11.0
42,1398/12/13,156894,13036,10819,2433,10687,193869,195209,0,12.0
43,1398/12/14,166150,13818,11256,2461,10964,204653,205349,2,13.0
44,1398/12/15,176422,13325,10396,2348,10780,213275,218391,2,14.0
45,1398/12/16,182050,11360,9997,2292,11518,217217,221713,0,15.0
46,1398/12/17,140607,12080,9931,2119,10588,175328,178155,2,16.0
47,1398/12/18,140990,12401,9983,2140,10688,176202,176415,0,17.0
48,1398/12/19,159871,13196,10222,2236,10920,196447,198228,1,18.0
49,1398/12/20,152684,13387,11030,2381,11916,191403,198362,3,19.0
50,1398/12/21,155186,12942,10931,2384,12470,193914,200294,1,20.0
51,1398/12/22,160701,12945,10878,2242,12783,199551,201099,1,21.0
52,1398/12/23,136807,10371,9314,1899,11495,169886,173616,0,22.0
53,1398/12/24,126762,11083,9063,1864,10703,159475,159845,0,23.0
54,1398/12/25,134201,11784,9340,1821,10701,167847,168400,0,24.0
55,1398/12/26,139614,12406,9757,1807,9903,173487,175294,0,25.0
56,1398/12/27,148878,11945,9480,1697,9263,181263,181410,0,26.0
57,1398/12/28,130761,9478,8099,1543,8110,157991,160032,0,27.0
58,1398/12/29,149412,7687,6175,1226,6174,170674,170757,0,28.0
59,1399/01/01,119892,5612,5314,938,4524,136280,137684,54,0.0
60,1399/01/02,119012,5577,5317,938,4505,135349,135974,2,1.0
61,1399/01/03,102388,5568,4942,749,4646,118298,118491,6,2.0
62,1399/01/04,124869,7093,5812,938,5279,143995,144213,2,3.0
63,1399/01/05,155966,8914,7264,1235,6640,180021,181949,2,4.0
64,1399/01/06,163412,10351,9285,1461,7358,191872,194269,2,5.0
65,1399/01/07,144909,8961,8654,1545,7946,172015,173181,0,6.0
66,1399/01/08,119574,7667,7912,1280,7563,143998,147144,2,7.0
67,1399/01/09,98458,8440,7785,1311,8059,124054,128311,2,8.0
68,1399/01/10,110819,8905,8268,1501,8112,137607,140345,1,9.0
69,1399/01/11,105973,9235,8006,1393,7588,132201,133307,4,10.0
70,1399/01/12,88516,7250,6683,1145,6791,110391,110900,4,11.0
71,1399/01/13,50867,3378,4238,759,4764,64009,64464,2,12.0
72,1399/01/14,110968,7276,6622,1177,6995,133044,139964,3,13.0
73,1399/01/15,131615,8318,8375,1516,7479,157307,163067,2,14.0
74,1399/01/16,136137,10841,9468,1697,7933,166080,168013,2,15.0
75,1399/01/17,151856,11967,10906,1900,9169,185800,188124,2,16.0
76,1399/01/18,139524,12274,10107,2178,9172,173259,182005,2,17.0
77,1399/01/19,131591,11568,9886,1848,9667,164563,167274,2,18.0
78,1399/01/20,132244,11675,10391,1831,10564,166713,167150,4,19.0
79,1399/01/21,119708,10264,9646,1635,10485,151740,152151,2,20.0
80,1399/01/22,148326,8447,7891,1396,9395,175457,179787,2,21.0
81,1399/01/23,151878,11568,9439,1730,9344,183959,191350,0,22.0
82,1399/01/24,152362,12714,9815,1947,9546,186384,189502,0,23.0
83,1399/01/25,164562,13599,10950,2255,11165,202538,203358,4,24.0
84,1399/01/26,174697,13373,10591,2134,11248,212046,213661,2,25.0
85,1399/01/27,185817,13441,10537,2019,11270,223087,223802,2,26.0
86,1399/01/28,192678,13314,11029,2215,12791,232031,235839,4,27.0
