,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,245122,19050,26072,8216,28048,326508,330002,8,0.0
1,1398/11/02,193326,14503,20011,6441,21661,255945,279448,12,1.0
2,1398/11/03,192432,13366,18980,6879,23051,254709,268414,8,2.0
3,1398/11/04,230340,15311,21195,7495,23797,298145,300465,10,3.0
4,1398/11/05,235538,17434,22144,7209,22080,304408,307930,10,4.0
5,1398/11/06,239174,19450,25765,7839,25988,318223,322715,8,5.0
6,1398/11/07,251463,20248,27435,8646,28484,336276,339127,4,6.0
7,1398/11/08,280512,19923,27023,8750,28792,365000,369018,4,7.0
8,1398/11/09,253517,17880,25888,8352,28945,334595,338492,15,8.0
9,1398/11/10,282746,17618,22206,7849,24817,355239,359888,7,9.0
10,1398/11/11,305468,18079,25446,8495,28097,385590,389823,6,10.0
11,1398/11/12,229443,16763,22529,7776,23922,300441,306360,10,11.0
12,1398/11/13,252510,20130,27671,8637,28813,337765,341546,6,12.0
13,1398/11/14,257250,21069,28780,8677,28787,344563,348907,2,13.0
14,1398/11/15,259685,20903,29300,8971,29675,348536,353676,4,14.0
15,1398/11/16,276071,20653,29405,9511,31534,367179,367423,6,15.0
16,1398/11/17,282811,18508,25694,8368,28359,363749,363486,6,16.0
17,1398/11/18,268381,17626,25517,8371,29395,349297,348671,7,17.0
18,1398/11/19,254899,17989,24495,7993,25201,330589,331698,11,18.0
19,1398/11/20,244827,19177,27525,8592,27729,327858,329075,7,19.0
20,1398/11/21,228136,15923,23516,7930,24530,300043,303806,6,20.0
21,1398/11/22,185379,13223,21556,7622,22317,250104,253901,6,21.0
22,1398/11/23,221195,14821,20863,7979,23431,288295,293335,4,22.0
23,1398/11/24,277123,16419,21551,7666,23466,346231,349454,6,23.0
24,1398/11/25,298330,16727,24324,8534,26743,374666,375140,4,24.0
25,1398/11/26,279821,19449,24913,8512,23278,355975,356833,2,25.0
26,1398/11/27,266468,21724,29052,9250,29691,356189,359172,2,26.0
27,1398/11/28,252248,20061,28095,8852,28244,337509,339099,8,27.0
28,1398/11/29,270270,21767,29044,9025,29069,359175,361341,2,28.0
29,1398/11/30,273747,20372,27809,9156,28423,359507,361632,7,29.0
30,1398/12/01,220161,14686,20019,7082,22508,284456,287205,6,0.0
31,1398/12/02,229379,15528,21540,7466,24905,298825,299568,12,1.0
32,1398/12/03,259914,18835,23723,7992,24579,335045,335924,4,2.0
33,1398/12/04,282439,21827,29731,9023,29782,372812,370868,6,3.0
34,1398/12/05,252494,20521,28856,9001,29856,340733,342293,5,4.0
35,1398/12/06,163118,13862,21057,7359,24471,229882,237980,9,5.0
36,1398/12/07,178166,13073,20630,7016,23314,242212,249452,9,6.0
37,1398/12/08,245749,15072,22651,7504,24355,315345,319225,8,7.0
38,1398/12/09,215398,16332,25291,7600,25950,290586,292801,8,8.0
39,1398/12/10,242788,18676,26200,8066,24635,320380,322416,8,9.0
40,1398/12/11,225084,19449,26948,7631,27082,306206,313380,8,10.0
41,1398/12/12,207216,18559,26888,7644,27712,288024,292902,4,11.0
42,1398/12/13,221904,18866,27561,7498,28564,304397,306894,6,12.0
43,1398/12/14,227877,18676,26856,7853,29838,311104,316472,2,13.0
44,1398/12/15,233201,16236,24477,6991,27325,308233,311990,2,14.0
45,1398/12/16,217343,15988,25923,7571,30552,297381,297559,2,15.0
46,1398/12/17,207003,16235,22886,7097,25060,278285,283379,4,16.0
47,1398/12/18,187832,16445,25077,7571,27681,264611,265733,4,17.0
48,1398/12/19,198741,16845,24386,7367,25744,273087,274935,4,18.0
49,1398/12/20,194323,18013,26451,7711,30710,277216,278198,4,19.0
50,1398/12/21,189230,17281,25613,7142,28143,267416,269175,6,20.0
51,1398/12/22,191113,15170,22722,6649,26519,262179,264458,4,21.0
52,1398/12/23,168294,15033,22763,6187,24711,236994,241390,4,22.0
53,1398/12/24,173057,15137,20338,5490,20619,234648,235918,4,23.0
54,1398/12/25,167195,14441,21073,5105,22068,229893,231382,9,24.0
55,1398/12/26,184074,16001,21185,4988,20561,246818,249134,6,25.0
56,1398/12/27,193256,15710,20466,4619,17431,251488,252211,8,26.0
57,1398/12/28,172248,12372,16658,3376,13110,217764,217842,6,27.0
58,1398/12/29,184859,9246,11940,2387,8975,217407,217749,6,28.0
59,1399/01/01,129381,4013,5268,801,2877,142340,153317,2,0.0
60,1399/01/02,121455,4952,6059,883,2633,135987,145068,4,1.0
61,1399/01/03,117481,5274,7548,1225,4189,135725,136480,8,2.0
62,1399/01/04,130344,6421,8105,1811,6277,152965,153584,4,3.0
63,1399/01/05,169309,8965,11161,2743,10038,202216,203369,0,4.0
64,1399/01/06,181182,10446,13552,3723,13263,222166,222519,0,5.0
65,1399/01/07,163475,9130,12654,3723,13049,202031,202299,0,6.0
66,1399/01/08,137661,9750,14053,3963,13709,179141,179661,2,7.0
67,1399/01/09,120705,9620,13268,3747,12891,160239,161185,6,8.0
68,1399/01/10,126476,10034,13434,3891,14312,168160,169352,8,9.0
69,1399/01/11,135672,10793,13655,3584,13489,177198,177971,4,10.0
70,1399/01/12,122386,8156,10012,3177,11292,155029,155726,4,11.0
71,1399/01/13,79166,4623,6788,2224,8146,100954,102609,6,12.0
72,1399/01/14,144718,8102,10050,3395,11670,177943,178648,4,13.0
73,1399/01/15,160438,11044,14143,4488,15882,205998,206728,2,14.0
74,1399/01/16,170080,13511,16105,4527,15545,219779,220935,6,15.0
75,1399/01/17,172208,14043,18344,5048,19732,229384,234048,8,16.0
76,1399/01/18,163921,13728,18772,5450,20313,222188,225808,2,17.0
77,1399/01/19,152227,13324,17972,5453,20437,209418,210775,5,18.0
78,1399/01/20,162555,13389,17744,5507,20349,219547,220937,2,19.0
79,1399/01/21,149707,10047,14436,5125,18788,198105,199390,2,20.0
80,1399/01/22,152357,10552,15137,5137,18326,201513,203072,2,21.0
81,1399/01/23,191080,13965,18352,5217,18266,246883,248197,2,22.0
82,1399/01/24,199329,16381,22159,6104,23132,267110,268842,4,23.0
83,1399/01/25,199125,16698,22169,6402,24481,268883,270354,6,24.0
84,1399/01/26,201497,16811,22952,6665,25392,273325,276450,6,25.0
85,1399/01/27,205504,16316,23186,6510,25329,276852,279267,6,26.0
86,1399/01/28,220662,15359,21011,6004,23838,286881,290873,4,27.0
87,1399/01/29,211133,13371,20562,6198,23443,274714,279628,4,28.0
