,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,346047,52012,43957,13814,58868,514698,516567,2,0.0
1,1398/11/02,307630,45156,38664,12137,48903,452494,469081,3,1.0
2,1398/11/03,283437,34871,29496,10578,41241,399625,407793,2,2.0
3,1398/11/04,321584,28998,25440,9041,38417,423480,428280,0,3.0
4,1398/11/05,323377,48062,37066,12343,50027,470875,472993,0,4.0
5,1398/11/06,343858,54367,43754,12643,58135,512766,514858,6,5.0
6,1398/11/07,364460,56593,45373,12959,63104,542497,553451,6,6.0
7,1398/11/08,459000,58619,45463,13047,64446,640581,649395,4,7.0
8,1398/11/09,422885,47382,37947,11626,55089,574933,576502,4,8.0
9,1398/11/10,401008,45634,33361,11022,52166,543192,545274,2,9.0
10,1398/11/11,534326,43822,33020,9893,47619,668683,669830,2,10.0
11,1398/11/12,366021,53308,40329,11821,55588,527069,530685,2,11.0
12,1398/11/13,356899,55939,45284,12770,59041,529935,532753,3,12.0
13,1398/11/14,361123,59043,47321,12966,62339,542792,545514,1,13.0
14,1398/11/15,367350,58197,48069,12918,65035,551573,555291,4,14.0
15,1398/11/16,404441,59577,47545,13473,65817,590856,593845,4,15.0
16,1398/11/17,413314,49891,39003,12118,59074,573405,574624,4,16.0
17,1398/11/18,412268,40465,33100,10441,49299,545575,546137,2,17.0
18,1398/11/19,358450,52109,41302,12371,57932,522168,531649,2,18.0
19,1398/11/20,358266,57329,46994,13363,62809,538765,540380,2,19.0
20,1398/11/21,402121,55410,40716,12313,57366,567926,570556,0,20.0
21,1398/11/22,290638,36511,28789,9257,42483,407678,416165,0,21.0
22,1398/11/23,335763,47093,34423,10752,50924,478955,481274,0,22.0
23,1398/11/24,397197,46597,34882,10781,53058,542515,544360,0,23.0
24,1398/11/25,477573,42021,31157,10093,47215,608059,609168,2,24.0
25,1398/11/26,396374,52938,41010,12447,59006,561778,563601,4,25.0
26,1398/11/27,373159,56567,45986,13233,63773,552719,556905,4,26.0
27,1398/11/28,350339,55590,45798,13049,63936,528715,537810,4,27.0
28,1398/11/29,363386,56972,47747,13582,65411,547098,549837,2,28.0
29,1398/11/30,393897,58896,47295,13601,66644,580333,583992,4,29.0
30,1398/12/01,358337,45583,37273,11148,54532,506873,510746,4,0.0
31,1398/12/02,367432,35608,30664,9002,45574,488282,491622,4,1.0
32,1398/12/03,376968,52876,42499,12240,58152,542735,545991,2,2.0
33,1398/12/04,382037,58354,48936,13118,63651,566102,573241,6,3.0
34,1398/12/05,367671,60484,49328,13289,64835,555607,558626,0,4.0
35,1398/12/06,283336,51001,45150,11366,57478,448336,449259,2,5.0
36,1398/12/07,288447,48683,42629,10416,55490,445668,446593,2,6.0
37,1398/12/08,344925,47138,38006,9965,52608,492645,493877,2,7.0
38,1398/12/09,316221,38726,34522,8703,46428,444600,447270,0,8.0
39,1398/12/10,335441,53016,43108,10869,55051,497485,502015,0,9.0
40,1398/12/11,326394,55626,47196,11264,60776,501256,502974,0,10.0
41,1398/12/12,305260,52774,45545,11158,59160,473899,476095,2,11.0
42,1398/12/13,309553,54177,46821,11555,61898,484007,489958,2,12.0
43,1398/12/14,329972,53743,46731,11455,61706,503611,512386,2,13.0
44,1398/12/15,340982,45955,40804,10397,55489,493627,497181,0,14.0
45,1398/12/16,296767,34384,33716,8084,46114,419065,419879,0,15.0
46,1398/12/17,304910,44967,40025,9975,52881,452764,459646,4,16.0
47,1398/12/18,279804,41228,39017,9155,48145,417353,427143,2,17.0
48,1398/12/19,309311,50939,44737,10478,55919,471386,472252,2,18.0
49,1398/12/20,307819,53380,48361,11159,59021,479743,481218,2,19.0
50,1398/12/21,307747,51236,46406,10625,58431,474449,486416,2,20.0
51,1398/12/22,313114,44516,40116,9505,53080,460332,470228,1,21.0
52,1398/12/23,269145,34449,33644,7537,43528,388303,396440,0,22.0
53,1398/12/24,310127,48077,41910,8862,49385,458361,463991,0,23.0
54,1398/12/25,305550,47144,41887,8920,50180,453681,458474,2,24.0
55,1398/12/26,307141,44433,38509,8006,45779,443871,448727,4,25.0
56,1398/12/27,310794,40118,33855,7218,39930,431915,435434,2,26.0
57,1398/12/28,312035,34393,26998,5780,29129,408335,412135,2,27.0
58,1398/12/29,300455,21914,15701,3708,17939,359717,363359,2,28.0
59,1399/01/01,183531,10196,6884,1491,7233,209335,224536,2,0.0
60,1399/01/02,179495,11612,7422,1643,8086,208258,226872,2,1.0
61,1399/01/03,177244,12935,8922,2110,10103,211315,212464,3,2.0
62,1399/01/04,186994,14089,9561,2529,12788,225962,226749,3,3.0
63,1399/01/05,222267,18135,12853,3149,17916,274320,275853,2,4.0
64,1399/01/06,245948,21768,17355,4116,23694,312881,313800,2,5.0
65,1399/01/07,236319,20555,16388,4512,24638,302412,302698,2,6.0
66,1399/01/08,198896,18792,17411,4247,22908,262254,264002,2,7.0
67,1399/01/09,172692,21278,18196,4689,25201,242060,243932,4,8.0
68,1399/01/10,166684,21628,18782,4466,24021,235585,237321,4,9.0
69,1399/01/11,142108,19963,16471,4177,22305,205027,206151,4,10.0
70,1399/01/12,96311,13962,11647,3221,17636,142781,145344,2,11.0
71,1399/01/13,68153,8774,7423,2152,10908,97413,98872,2,12.0
72,1399/01/14,194702,15673,11360,3524,17453,242717,244963,4,13.0
73,1399/01/15,230529,19893,16051,4392,22810,293679,295386,2,14.0
74,1399/01/16,228671,27087,21142,5787,29204,311901,320509,7,15.0
75,1399/01/17,232842,31227,25717,6617,36736,333143,334421,2,16.0
76,1399/01/18,230416,33412,27568,7218,41875,340493,341067,2,17.0
77,1399/01/19,218864,32587,28390,7145,41086,328075,335701,2,18.0
78,1399/01/20,238118,33184,28391,6987,41049,347732,351504,2,19.0
79,1399/01/21,159048,20620,18505,5578,30429,234187,235316,4,20.0
80,1399/01/22,169845,19768,17293,5158,29848,241916,244369,2,21.0
81,1399/01/23,255804,32325,26621,7097,38141,359993,370778,4,22.0
82,1399/01/24,271241,36532,31612,7688,43256,390334,405735,3,23.0
83,1399/01/25,292125,41354,35467,8750,49517,427216,429109,2,24.0
84,1399/01/26,281130,42195,36769,8637,51105,419839,437272,2,25.0
85,1399/01/27,296792,44494,38404,9064,53316,442072,453703,3,26.0
86,1399/01/28,308049,37730,31792,8071,45201,430845,444305,1,27.0
87,1399/01/29,310009,30434,24870,6350,37201,408864,411539,0,28.0
88,1399/01/30,314327,40810,33632,8720,46666,444155,456766,0,29.0
89,1399/01/31,328700,43669,37429,8809,49642,468249,482710,2,30.0
90,1399/02/01,360915,43492,38795,9187,50020,502409,518931,2,0.0
91,1399/02/02,366966,46154,40748,9782,54729,518379,536414,2,1.0
92,1399/02/03,392006,46545,41242,9779,54485,544058,564809,3,2.0
93,1399/02/04,407744,40786,35138,8822,49368,541861,559022,4,3.0
94,1399/02/05,430636,33570,28417,7504,41807,541937,551602,2,4.0
95,1399/02/06,378246,46206,38559,10262,52416,525693,535991,3,5.0
96,1399/02/07,333646,47599,42057,10579,55246,489136,500149,6,6.0
97,1399/02/08,346131,48361,42948,11229,55271,503946,515232,3,7.0
98,1399/02/09,351684,50751,44595,11833,57364,516234,526250,4,8.0
99,1399/02/10,364556,52146,46181,12405,59384,534676,542458,2,9.0
100,1399/02/11,372643,44240,37751,11405,52220,518264,530170,3,10.0
101,1399/02/12,386543,36649,31696,10256,44913,510060,520778,2,11.0
102,1399/02/13,381518,51233,41511,12644,55422,542335,550095,6,12.0
103,1399/02/14,369092,53959,46160,13070,58453,540740,549812,7,13.0
104,1399/02/15,368043,53155,45907,13080,59424,539617,550230,6,14.0
105,1399/02/16,365485,50943,45632,12596,58814,533478,542511,8,15.0
106,1399/02/17,381677,51045,46155,12311,58845,550045,560844,11,16.0
107,1399/02/18,395321,42266,38624,10230,52032,538478,549688,5,17.0
108,1399/02/19,407695,38161,32373,8908,44704,531847,541809,5,18.0
109,1399/02/20,386736,49664,42315,10182,55188,544090,556508,5,19.0
110,1399/02/21,363870,51363,45606,10454,58627,529924,542993,4,20.0
111,1399/02/22,364347,50781,46154,10632,58642,530561,553515,5,21.0
112,1399/02/23,374338,53688,47830,11686,61190,548740,563196,7,22.0
113,1399/02/24,381384,53327,46784,11777,61369,554652,569322,10,23.0
114,1399/02/25,384426,44305,38316,10853,53547,531458,550015,9,24.0
115,1399/02/26,375068,36211,32298,8872,44059,496523,515241,10,25.0
116,1399/02/27,382389,49239,41707,11543,55030,539917,563288,8,26.0
117,1399/02/28,378853,55392,46954,12300,59992,553499,558389,6,27.0
118,1399/02/29,381594,56533,46850,13015,60866,558864,561861,5,28.0
119,1399/02/30,380886,56881,47960,13235,62605,561571,568304,5,29.0
120,1399/02/31,439709,59047,48131,13659,66791,627337,633556,7,30.0
121,1399/03/01,570669,52012,42800,12570,61184,739235,744386,1,0.0
122,1399/03/02,486837,39657,33465,10250,47739,617952,622504,4,1.0
123,1399/03/03,516310,49009,36691,11686,53657,667355,673067,2,2.0
124,1399/03/04,505573,33232,25876,8200,34282,607168,611901,3,3.0
125,1399/03/05,642672,40340,30161,9888,41491,764555,767666,2,4.0
126,1399/03/06,520829,53540,41967,13053,60689,690078,693033,0,5.0
127,1399/03/07,457153,58115,48046,13094,62835,639245,643303,2,6.0
128,1399/03/08,473359,49310,40469,12207,56701,632048,635903,2,7.0
129,1399/03/09,556627,41155,34223,11143,47219,690367,694025,0,8.0
130,1399/03/10,454441,56105,43865,13503,61056,628970,633287,0,9.0
131,1399/03/11,425405,58340,47755,13856,64343,609702,613515,2,10.0
132,1399/03/12,451648,60781,49716,13824,66803,642778,647599,6,11.0
133,1399/03/13,566331,58833,47266,13202,64488,750127,768977,8,12.0
134,1399/03/14,564441,43767,35465,11100,47479,702254,723845,4,13.0
135,1399/03/15,441357,32100,25994,9609,38225,547289,558833,4,14.0
136,1399/03/16,661325,40876,32471,10687,45793,791155,804384,4,15.0
137,1399/03/17,537313,55102,43874,14017,61405,711721,719351,6,16.0
138,1399/03/18,458896,58947,47951,14211,65745,645757,650493,6,17.0
139,1399/03/19,426338,58039,47213,13725,65986,611306,615217,6,18.0
140,1399/03/20,423404,57242,48472,14109,67600,610832,615589,7,19.0
141,1399/03/21,441733,58041,47256,14225,67685,628944,634893,4,20.0
142,1399/03/22,465466,47875,39468,13144,60662,626619,630556,6,21.0
143,1399/03/23,456756,39397,32400,10962,49157,588673,590580,4,22.0
144,1399/03/24,434699,54111,42267,13702,62049,606828,609334,2,23.0
145,1399/03/25,417013,58114,46610,13923,64866,600527,603983,4,24.0
146,1399/03/26,424368,56931,46575,14035,66892,608812,617047,12,25.0
147,1399/03/27,512773,59675,46965,14369,67483,701265,707353,2,26.0
148,1399/03/28,483866,46702,39031,12762,55580,637941,640314,2,27.0
149,1399/03/29,459876,42758,33953,12140,53284,602013,611869,4,28.0
150,1399/03/30,554098,39873,31408,11173,46213,682765,686863,4,29.0
151,1399/03/31,481537,53295,41093,13535,59791,649251,652120,4,30.0
