,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,195933,27173,20463,15419,29218,288206,292303,5,0.0
1,1398/11/02,214013,27615,20404,14489,30520,307041,310045,3,1.0
2,1398/11/03,195296,21991,16119,12644,25693,271751,275228,9,2.0
3,1398/11/04,232581,19384,15895,13161,24722,305751,311669,9,3.0
4,1398/11/05,189607,22962,16036,14119,23575,266303,274670,4,4.0
5,1398/11/06,203686,27294,20107,15418,29254,295806,301932,38,5.0
6,1398/11/07,219041,30961,22988,17171,33412,323576,327655,2,6.0
7,1398/11/08,279873,29758,20839,15644,33270,379390,385893,3,7.0
8,1398/11/09,251407,24803,19360,14972,31635,342185,346567,6,8.0
9,1398/11/10,225588,21317,15105,13289,26662,301972,308368,6,9.0
10,1398/11/11,330108,23474,17841,14185,28010,413628,422811,5,10.0
11,1398/11/12,231374,26218,18409,15981,28629,320619,325274,5,11.0
12,1398/11/13,207254,28859,21284,15959,31135,304504,308179,9,12.0
13,1398/11/14,207974,30529,22134,15488,34121,310258,315366,7,13.0
14,1398/11/15,213644,31563,23057,17268,36909,322450,328213,5,14.0
15,1398/11/16,232766,31329,23247,16625,37164,341135,348404,2,15.0
16,1398/11/17,239133,27719,19386,15238,33157,334633,340950,0,16.0
17,1398/11/18,256551,22901,18970,15259,32213,345894,349256,0,17.0
18,1398/11/19,222200,27787,19650,14975,31492,316107,317820,2,18.0
19,1398/11/20,218561,30996,23200,15809,35094,323661,330146,3,19.0
20,1398/11/21,262110,29734,20955,15761,32152,360714,368826,4,20.0
21,1398/11/22,232855,24820,19480,14977,29752,321888,330767,3,21.0
22,1398/11/23,212674,26012,18091,13128,27445,297355,302162,3,22.0
23,1398/11/24,235588,27476,18778,14005,30874,326727,332175,5,23.0
24,1398/11/25,317121,26343,18430,15102,29419,406421,414483,5,24.0
25,1398/11/26,220921,28424,19443,14698,28740,312235,316165,7,25.0
26,1398/11/27,210240,33016,23709,16349,35895,319213,321176,2,26.0
27,1398/11/28,203088,33486,23682,17046,36348,313650,317040,0,27.0
28,1398/11/29,208204,33321,23278,15833,37927,318564,322120,2,28.0
29,1398/11/30,222144,34463,23805,16365,37505,334282,340597,0,29.0
30,1398/12/01,213647,25801,18212,15073,29238,301971,312468,2,0.0
31,1398/12/02,215621,23793,18731,13230,29028,300403,303191,0,1.0
32,1398/12/03,204913,27303,19684,13440,27184,292527,298865,2,2.0
33,1398/12/04,215154,32683,24979,15930,35122,323874,328262,4,3.0
34,1398/12/05,209180,32743,24920,14501,35562,316917,320455,8,4.0
35,1398/12/06,180565,29083,22766,12837,31904,277165,289187,6,5.0
36,1398/12/07,167338,26588,21533,13631,29872,258971,263751,8,6.0
