,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,129740,8992,2082,3497,11232,155543,161492,18,0.0
1,1398/11/02,138896,8700,2035,3468,11297,164396,169715,13,1.0
2,1398/11/03,137482,8872,2061,3421,10649,162491,169085,18,2.0
3,1398/11/04,116517,5753,1512,2945,10115,136853,144806,22,3.0
4,1398/11/05,133677,8287,1836,3218,10645,157670,163235,15,4.0
5,1398/11/06,128419,8799,2047,3593,12120,154985,160862,17,5.0
6,1398/11/07,131518,8974,2274,3653,11864,158283,162856,11,6.0
7,1398/11/08,143534,8538,1966,3213,10608,167861,174432,11,7.0
8,1398/11/09,126922,7885,1767,3357,10984,150917,156216,10,8.0
9,1398/11/10,140081,8397,1865,3337,10361,164044,171617,12,9.0
10,1398/11/11,144855,7239,1679,3162,10705,167648,173045,12,10.0
11,1398/11/12,138575,8828,1957,3328,10695,163386,167764,9,11.0
12,1398/11/13,127999,8419,1798,3248,10588,152057,162789,11,12.0
13,1398/11/14,129607,8917,1910,3148,11143,154731,159942,11,13.0
14,1398/11/15,130603,8890,2136,3605,11645,156884,161476,10,14.0
15,1398/11/16,132870,8872,1953,3257,10743,157698,166224,10,15.0
16,1398/11/17,136898,8583,1947,3052,10321,160808,166434,15,16.0
17,1398/11/18,126518,6334,1619,2912,10053,147442,156027,14,17.0
18,1398/11/19,135204,9095,1946,3162,10713,160120,167738,11,18.0
19,1398/11/20,127507,8208,1745,3030,10125,150615,160039,10,19.0
20,1398/11/21,139016,8643,1861,3086,10921,163530,169960,13,20.0
21,1398/11/22,117701,7267,1643,2892,10424,139933,146488,16,21.0
22,1398/11/23,134063,7994,1751,3169,11011,158001,166417,18,22.0
23,1398/11/24,144068,8327,1784,3162,11006,168357,177593,16,23.0
24,1398/11/25,143950,6457,1448,2900,10429,165193,170747,17,24.0
25,1398/11/26,137848,8384,1784,3162,10284,161466,170050,16,25.0
26,1398/11/27,134644,8524,1887,3518,11869,160451,166290,18,26.0
27,1398/11/28,132738,8727,2059,3635,11639,158805,167931,18,27.0
28,1398/11/29,126708,8319,1837,3284,11429,151578,162328,16,28.0
29,1398/11/30,133511,8499,1921,3364,11219,158514,170575,16,29.0
30,1398/12/01,135650,7435,1590,2999,10197,157871,162535,11,0.0
31,1398/12/02,106487,4921,1198,2296,8774,123676,129117,9,1.0
32,1398/12/03,122022,7887,1701,3200,10595,145410,149848,13,2.0
33,1398/12/04,119850,7879,1670,3200,10599,143210,150248,17,3.0
34,1398/12/05,118094,7414,1500,2931,9552,139502,151055,12,4.0
35,1398/12/06,120813,7688,1571,2779,10310,143167,150096,12,5.0
36,1398/12/07,118381,7518,1484,2823,9740,139952,146192,10,6.0
37,1398/12/08,119852,7666,1594,2895,9097,141121,146870,12,7.0
38,1398/12/09,105828,5095,1184,2696,8464,123280,130533,12,8.0
