,date,class1,class2,class3,class4,class5,total,total_cars,is_copy,Unnamed: 0
0,1398/11/01,2118712,116295,47034,26598,49846,2358485,2376194,23,0.0
1,1398/11/02,2121266,117654,47123,26691,48888,2361622,2410450,22,1.0
2,1398/11/03,2031664,101087,42374,25635,46630,2247390,2298748,28,2.0
3,1398/11/04,1988063,79381,33668,21556,36817,2159485,2190963,27,3.0
4,1398/11/05,2121234,119399,48565,28398,50774,2368370,2390136,20,4.0
5,1398/11/06,2138804,125510,51911,29084,54113,2399422,2413879,24,5.0
6,1398/11/07,2165246,130311,54417,29967,59136,2439077,2472059,20,6.0
7,1398/11/08,2373147,132919,56023,29754,59353,2651196,2666482,16,7.0
8,1398/11/09,2057762,95272,38752,21555,40934,2254275,2259998,13,8.0
9,1398/11/10,2247449,111642,45427,25559,49311,2479388,2515849,18,9.0
10,1398/11/11,2351027,85169,34227,22026,37642,2530091,2553290,23,10.0
11,1398/11/12,2182648,120978,49769,29831,54023,2437249,2474238,23,11.0
12,1398/11/13,2147202,125914,52844,30249,56773,2412982,2422406,23,12.0
13,1398/11/14,2179006,129920,54234,30814,59082,2453056,2463434,17,13.0
14,1398/11/15,2213087,129779,52721,29581,57060,2482228,2518630,18,14.0
15,1398/11/16,2269406,128684,51757,28667,56185,2534699,2541890,19,15.0
16,1398/11/17,2313064,118030,45355,26060,50335,2552844,2627164,16,16.0
17,1398/11/18,2178988,79635,29866,20151,35325,2343965,2354613,12,17.0
18,1398/11/19,2206001,122464,49072,29167,53851,2460555,2475795,14,18.0
19,1398/11/20,2179302,125505,50698,29165,53127,2437797,2445324,16,19.0
20,1398/11/21,2256773,123646,47192,30267,54496,2512374,2536472,33,20.0
21,1398/11/22,1810224,92266,35715,22798,44430,2005433,2031836,34,21.0
22,1398/11/23,2098841,113388,43186,28068,46590,2330073,2356077,40,22.0
23,1398/11/24,2216810,114465,42328,28071,46491,2448165,2552567,29,23.0
24,1398/11/25,2232264,89445,34032,23096,39985,2418822,2454423,31,24.0
25,1398/11/26,2182971,123950,49140,31504,54866,2442431,2496399,34,25.0
26,1398/11/27,2070176,122405,49501,30708,54687,2327477,2412883,39,26.0
27,1398/11/28,2110884,123481,49014,30348,55156,2368883,2405058,32,27.0
28,1398/11/29,2141628,127811,50778,31453,58373,2410043,2434419,40,28.0
29,1398/11/30,2174217,127297,50164,31263,57171,2440112,2495438,39,29.0
30,1398/12/01,2332584,110429,43786,28984,47032,2562815,2657800,55,0.0
31,1398/12/02,2182939,90182,35146,25114,39133,2372514,2465821,56,1.0
32,1398/12/03,2340802,123876,48064,31395,51743,2595880,2687229,45,2.0
33,1398/12/04,2314342,127080,49154,31896,52861,2575333,2669854,43,3.0
34,1398/12/05,2295551,125213,49818,31379,50747,2552708,2644596,44,4.0
35,1398/12/06,2036496,119043,45298,27922,47058,2275817,2388222,39,5.0
36,1398/12/07,1999018,111859,44301,25815,47008,2228001,2404130,47,6.0
37,1398/12/08,2115164,118727,45174,24995,48486,2352546,2477908,40,7.0
38,1398/12/09,1874035,88551,35799,21672,39223,2059280,2158770,30,8.0
39,1398/12/10,2154244,136461,51356,30778,56846,2429685,2525320,49,9.0
40,1398/12/11,2120730,141292,52129,29548,57105,2400804,2477879,21,10.0
41,1398/12/12,2087310,140473,52160,28048,55003,2362994,2432398,30,11.0
42,1398/12/13,2078200,144977,53208,28790,57964,2363139,2430787,24,12.0
43,1398/12/14,2142352,145358,53215,28823,58287,2428035,2504218,24,13.0
44,1398/12/15,2093716,130149,46728,24389,52026,2347008,2427394,31,14.0
45,1398/12/16,1727060,93963,32936,17503,38015,1909477,1983450,17,15.0
46,1398/12/17,2021598,146499,49380,25452,51998,2294927,2367141,22,16.0
47,1398/12/18,1705634,124664,40510,19513,42310,1932631,2000405,20,17.0
48,1398/12/19,2027731,158677,52995,27216,56682,2323301,2391281,25,18.0
49,1398/12/20,1970476,154466,53252,27614,56902,2262710,2329436,22,19.0
50,1398/12/21,2004389,154797,52925,27669,57019,2296799,2353970,20,20.0
51,1398/12/22,1914765,141090,47637,23348,51592,2178432,2235659,18,21.0
52,1398/12/23,1533119,98905,32098,15432,36606,1716160,1766662,11,22.0
53,1398/12/24,2077282,144173,48348,24036,49449,2343288,2403525,19,23.0
54,1398/12/25,2030432,144563,46199,22706,46720,2290620,2350691,19,24.0
55,1398/12/26,2032116,140129,42739,20423,43437,2278844,2335525,13,25.0
56,1398/12/27,1927547,121557,35309,18227,35865,2138505,2193148,12,26.0
57,1398/12/28,1823141,105181,27709,14312,27593,1997936,2055656,7,27.0
58,1398/12/29,1480049,76694,16839,10346,18629,1602557,1632769,9,28.0
59,1399/01/01,1022602,32997,6630,5130,8803,1076162,1118333,8,0.0
60,1399/01/02,1087463,39205,7956,6145,9481,1150250,1275236,16,1.0
61,1399/01/03,1129704,37108,9548,6917,11562,1194839,1214278,18,2.0
62,1399/01/04,1107595,36717,11281,7274,12987,1175854,1205309,24,3.0
63,1399/01/05,1304813,45408,14690,9382,16820,1391113,1441438,18,4.0
64,1399/01/06,1342960,52580,18549,10832,20916,1445837,1505018,14,5.0
65,1399/01/07,1219092,46473,17307,9693,20055,1312620,1345962,12,6.0
66,1399/01/08,958318,34548,13563,7112,16678,1030219,1057012,14,7.0
67,1399/01/09,1064497,51204,18991,8974,20817,1164483,1190473,12,8.0
68,1399/01/10,939475,43998,17120,8358,19348,1028299,1057221,17,9.0
69,1399/01/11,998909,48410,18565,8795,19489,1094168,1124439,14,10.0
70,1399/01/12,807905,37899,14700,7971,17586,886061,924337,12,11.0
71,1399/01/13,532939,21524,8791,4960,12557,580771,616968,12,12.0
72,1399/01/14,1027992,37470,13916,8062,17204,1104644,1136894,14,13.0
73,1399/01/15,999428,35608,13828,8958,17929,1075751,1103582,11,14.0
74,1399/01/16,1379270,70847,24274,14012,27805,1516208,1563390,11,15.0
75,1399/01/17,1360201,74927,28319,15370,32941,1511758,1551766,15,16.0
76,1399/01/18,1408442,77518,30825,15983,34860,1567628,1595633,9,17.0
77,1399/01/19,1312523,68235,29368,15000,32283,1457409,1482730,9,18.0
78,1399/01/20,1306620,66513,27723,14834,30427,1446117,1471463,18,19.0
79,1399/01/21,1089824,48566,19045,10681,22066,1190182,1207745,18,20.0
80,1399/01/22,1129255,41721,18341,11069,22840,1223226,1253313,28,21.0
81,1399/01/23,1553469,76002,29370,15861,33829,1708531,1749433,26,22.0
82,1399/01/24,1642156,88974,34720,18896,38750,1823496,1874748,23,23.0
83,1399/01/25,1674066,94865,36627,19663,40917,1866138,1907096,14,24.0
84,1399/01/26,1699241,98659,36767,20084,42790,1897541,1944695,10,25.0
85,1399/01/27,1786142,102326,38084,19620,42970,1989142,2047846,19,26.0
86,1399/01/28,1772626,95707,33554,17680,38085,1957652,2005994,14,27.0
87,1399/01/29,1598262,63873,22936,12519,28834,1726424,1779050,18,28.0
88,1399/01/30,1909062,100635,37555,20207,42515,2109974,2162290,22,29.0
89,1399/01/31,1917741,106055,40136,20334,43675,2127941,2184415,24,30.0
90,1399/02/01,2051530,106897,38385,22251,41816,2260879,2324678,18,0.0
91,1399/02/02,2019097,113961,36819,22320,42612,2234809,2309783,21,1.0
92,1399/02/03,2080468,116162,37031,23397,42482,2299540,2405764,29,2.0
93,1399/02/04,2022074,101519,32820,19660,38217,2214290,2287171,23,3.0
94,1399/02/05,1892162,82781,23906,14660,29363,2042872,2090121,35,4.0
95,1399/02/06,2098301,117730,37283,23410,42814,2319538,2379302,24,5.0
96,1399/02/07,1938956,111001,36745,22351,41141,2150194,2208686,26,6.0
97,1399/02/08,2018421,120434,43074,23180,43403,2248512,2304837,26,7.0
98,1399/02/09,2021795,119898,42461,22773,41539,2248466,2306042,20,8.0
99,1399/02/10,2165683,124146,44466,23807,43380,2401482,2474824,22,9.0
100,1399/02/11,2108697,105631,36962,19500,34827,2305617,2405902,22,10.0
101,1399/02/12,2022327,86952,25771,15121,27304,2177475,2244131,28,11.0
102,1399/02/13,2280167,123918,40053,24627,43033,2511798,2579753,26,12.0
103,1399/02/14,2182288,120916,40060,25191,44126,2412581,2476314,25,13.0
104,1399/02/15,2204927,127206,41423,26209,46123,2445888,2527712,21,14.0
105,1399/02/16,2256760,128564,43396,25397,44361,2498478,2571438,18,15.0
106,1399/02/17,2330040,128956,44521,24636,43475,2571628,2640331,22,16.0
107,1399/02/18,2302597,120069,38519,21578,37808,2520571,2609841,21,17.0
108,1399/02/19,2155718,95252,28586,16462,28256,2324274,2409207,17,18.0
109,1399/02/20,2345323,131919,42869,25009,42451,2587571,2661421,18,19.0
110,1399/02/21,2188375,127559,43899,24628,43370,2427831,2507040,13,20.0
111,1399/02/22,2186251,127426,44310,25407,42683,2426077,2506211,14,21.0
112,1399/02/23,2169017,126181,40806,26246,44822,2407072,2494855,18,22.0
113,1399/02/24,2208204,127936,40613,25768,43682,2446203,2525600,37,23.0
114,1399/02/25,2198334,118118,35669,21949,38349,2412419,2494118,17,24.0
115,1399/02/26,1936868,76462,20213,13239,22805,2069587,2124248,8,25.0
116,1399/02/27,2281964,129533,40930,26852,43818,2523097,2599034,18,26.0
117,1399/02/28,2200473,128790,42809,27332,45840,2445244,2525795,19,27.0
118,1399/02/29,2244515,131206,43272,28127,45945,2493065,2583446,24,28.0
119,1399/02/30,2258426,127448,42622,27307,45759,2501562,2581506,24,29.0
120,1399/02/31,2347218,129872,42851,26970,44710,2591621,2690453,22,30.0
